F. Emision,ID Item,Barcode,C. Custom,Modelo,Descripción,Talla,Color,Cant. Equi.,F. Fin,U.Medida,Cant. Fis.,F. Ing.,Cant. Ing.,F. Sal.,Cant. Sal.,Stock Actual,Stock Equi.,P. Unitario,P. Total,F. Import,Marca
24/10/2024,584,603010010000000,,J0001,APAGA VELA,.,.,,24/10/2024,UNI,0,24/10/2024,1,,0,1,,21.5,21.5,,JARDIN DEL ZEN
01/11/2023,585,603010020000000,,J0002,CANASTA CHICA,.,.,,31/01/2024,UNI,1,31/01/2024,2,25/01/2024,2,1,,13.9,13.9,01/11/2023,JARDIN DEL ZEN
01/11/2023,606,603010060000000,,J0006,ESPONJA TEJIDA,.,.,,27/09/2024,UNI,3,31/01/2024,4,27/09/2024,6,1,,5.9,5.9,01/11/2023,JARDIN DEL ZEN
01/11/2023,607,603010070000000,,J0007,ESPONJA VEGETAL-LOOFA,.,.,,24/10/2024,UNI,2,24/10/2024,4,30/08/2024,4,2,,12.9,25.8,01/11/2023,JARDIN DEL ZEN
01/11/2023,582,603010080000000,,J0008,GUANTES EXFOLIANTES,.,.,,24/11/2023,UNI,1,24/11/2023,2,,0,3,,18.5,55.5,01/11/2023,JARDIN DEL ZEN
01/11/2023,577,603010100000000,,J0010,PORTA INCIENSO LARGO,.,.,,19/11/2024,UNI,3,15/11/2024,18,19/11/2024,19,2,,15,30,01/11/2023,JARDIN DEL ZEN
01/11/2023,608,603010110000000,,J0011,PORTA POTPOURRI S/ POTPOURRI,.,.,,05/01/2024,UNI,1,05/01/2024,1,24/11/2023,1,1,,40.5,40.5,01/11/2023,JARDIN DEL ZEN
01/11/2023,609,603010120000000,,J0012,POSA VELA CERÁMICA GRANDE,.,.,,09/08/2024,UNI,2,20/12/2023,5,09/08/2024,5,2,,27.5,55,01/11/2023,JARDIN DEL ZEN
01/11/2023,362,602010010140003,,J0021,AROMATIZADOR BAMBOO 180 ML AMOR,180 ML,AMOR,,26/04/2024,UNI,1,24/11/2023,2,26/04/2024,1,2,,79.9,159.8,01/11/2023,JARDIN DEL ZEN
01/11/2023,363,602010010140005,,J0021,AROMATIZADOR BAMBOO 180 ML ARMONÍA,180 ML,ARMONÍA,,05/11/2024,UNI,1,04/11/2024,6,05/11/2024,7,0,,79.9,0,01/11/2023,JARDIN DEL ZEN
30/05/2024,364,602010010140024,,J0021,AROMATIZADOR BAMBOO 180 ML ENERGÍA,180 ML,ENERGÍA,,15/11/2024,UNI,0,15/11/2024,3,15/11/2024,3,0,,79.9,0,,JARDIN DEL ZEN
01/11/2023,655,602010010140026,,J0021,AROMATIZADOR BAMBOO 180 ML EUCALIPTO,180 ML,EUCALIPTO,,19/11/2024,UNI,1,28/02/2024,1,19/11/2024,2,0,,79.9,0,01/11/2023,JARDIN DEL ZEN
01/11/2023,365,602010010140028,,J0021,AROMATIZADOR BAMBOO 180 ML FELICIDAD,180 ML,FELICIDAD,,19/11/2024,UNI,2,19/11/2024,15,16/11/2024,16,1,,79.9,79.9,01/11/2023,JARDIN DEL ZEN
01/11/2023,366,602010010140031,,J0021,AROMATIZADOR BAMBOO 180 ML HIERBA LUISA,180 ML,HIERBA LUISA,,13/09/2024,UNI,2,29/08/2024,6,13/09/2024,7,1,,79.9,79.9,01/11/2023,JARDIN DEL ZEN
01/11/2023,367,602010010140035,,J0021,AROMATIZADOR BAMBOO 180 ML LAVANDA,180 ML,LAVANDA,,01/10/2024,UNI,1,26/09/2024,10,01/10/2024,10,1,,79.9,79.9,01/11/2023,JARDIN DEL ZEN
01/11/2023,368,602010010140041,,J0021,AROMATIZADOR BAMBOO 180 ML MANDARINA,180 ML,MANDARINA,,24/11/2023,UNI,1,,0,24/11/2023,1,0,,79.9,0,01/11/2023,JARDIN DEL ZEN
01/11/2023,369,602010010140043,,J0021,AROMATIZADOR BAMBOO 180 ML MANZANA CANELA,180 ML,MANZANA CANELA,,19/09/2024,UNI,2,21/08/2024,8,19/09/2024,9,1,,79.9,79.9,01/11/2023,JARDIN DEL ZEN
01/11/2023,370,602010010140056,,J0021,AROMATIZADOR BAMBOO 180 ML ORQUIDEA BLANCA,180 ML,ORQUIDEA BLANCA,,04/11/2024,UNI,2,04/11/2024,22,03/10/2024,22,2,,95,190,01/11/2023,JARDIN DEL ZEN
01/11/2023,371,602010010140062,,J0021,AROMATIZADOR BAMBOO 180 ML ROSAS,180 ML,ROSAS,,16/04/2024,UNI,1,,0,16/04/2024,1,0,,79.9,0,01/11/2023,JARDIN DEL ZEN
01/11/2023,372,602010010140065,,J0021,AROMATIZADOR BAMBOO 180 ML SERENIDAD,180 ML,SERENIDAD,,04/10/2024,UNI,2,04/10/2024,11,03/09/2024,10,3,,79.9,239.7,01/11/2023,JARDIN DEL ZEN
