Codigo,Modelo,Descripcion,Cant.
602010010140005,J0021,AROMATIZADOR BAMBOO 180 ML ARMONÍA,1.000
602010010140028,J0021,AROMATIZADOR BAMBOO 180 ML FELICIDAD,1.000
602010020140028,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML FELICIDAD,1.000
602010020140035,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML LAVANDA,1.000
602010020140067,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML TE VERDE,1.000
602080010380024,J0049,INCIENSO ENERGÍA,3.000
602020020210024,J0058,SPRAY AROMATIZADOR 550 ML ENERGÍA,2.000
602020020210031,J0058,SPRAY AROMATIZADOR 550 ML HIERBA LUISA,4.000
602020020210035,J0058,SPRAY AROMATIZADOR 550 ML LAVANDA,2.000
602020020210056,J0058,SPRAY AROMATIZADOR 550 ML ORQUIDEA BLANCA,4.000
602020020210073,J0058,SPRAY AROMATIZADOR 550 ML TRANQ.,1.000
602060020000062,J0064,VELA BOTÁNICA ROSAS,1.000
605030010000000,J0071,KIT JARDIN DEL ZEN,1.000
601010050080005,J0076,ACEITE PARA MASAJES 34 ML ARMONÍA,1.000
601030010130073,J0079,BURBUJAS DE BAÑO 173 ML TRANQ.,1.000
601030010200073,J0079,BURBUJAS DE BAÑO 520 ML TRANQ.,1.000
601040010040005,J0086,COLONIA 10 ML ARMONÍA,2.000
601040010040024,J0086,COLONIA 10 ML ENERGÍA,2.000
601040010040065,J0086,COLONIA 10 ML SERENIDAD,2.000
604010010000046,J0187,KIT ALMOHADILLA LAVANDA- MANZANILLA,1.000
601130070000000,J0207,SALES EN BALA CAJA X 4 UNIDADES,1.000
604010190000000,J0236,KIT ORQUIDEA BLANCA,1.000
601010010360020,J0072,ACEITE NUTRITIVO 200 GR COCO,1.000
