F. Emision,ID Item,Barcode,C. Custom,Modelo,Descripción,Talla,Color,Cant. Equi.,F. Fin,U.Medida,Cant. Fis.,F. Ing.,Cant. Ing.,F. Sal.,Cant. Sal.,Stock Actual,Stock Equi.,P. Unitario,P. Total,F. Import,Marca
01/12/2023,584,603010010000000,,J0001,APAGA VELA,.,.,,,UNI,3,,0,,0,3,,21.5,64.5,01/12/2023,JARDIN DEL ZEN
01/12/2023,585,603010020000000,,J0002,CANASTA CHICA,.,.,,27/08/2024,UNI,5,,0,27/08/2024,3,2,,13.9,27.8,01/12/2023,JARDIN DEL ZEN
01/12/2023,586,60301003,,J0003,CANASTA GRANDE,.,.,,27/08/2024,UNI,3,,0,27/08/2024,2,1,,19.5,19.5,01/12/2023,JARDIN DEL ZEN
01/12/2023,606,603010060000000,,J0006,ESPONJA TEJIDA,.,.,,20/10/2024,UNI,9,16/10/2024,6,20/10/2024,13,2,,5.9,11.8,01/12/2023,JARDIN DEL ZEN
01/12/2023,607,603010070000000,,J0007,ESPONJA VEGETAL-LOOFA,.,.,,08/11/2024,UNI,7,08/11/2024,12,19/10/2024,15,4,,12.9,51.6,01/12/2023,JARDIN DEL ZEN
01/12/2023,577,603010100000000,,J0010,PORTA INCIENSO LARGO,.,.,,30/10/2024,UNI,8,16/10/2024,2,30/10/2024,9,1,,15,15,01/12/2023,JARDIN DEL ZEN
01/12/2023,608,603010110000000,,J0011,PORTA POTPOURRI S/ POTPOURRI,.,.,,,UNI,2,,0,,0,2,,40.5,81,01/12/2023,JARDIN DEL ZEN
01/12/2023,609,603010120000000,,J0012,POSA VELA CERÁMICA GRANDE,.,.,,16/09/2024,UNI,3,16/09/2024,1,03/02/2024,2,2,,27.5,55,01/12/2023,JARDIN DEL ZEN
01/12/2023,362,602010010140003,,J0021,AROMATIZADOR BAMBOO 180 ML AMOR,180 ML,AMOR,,28/10/2024,UNI,2,28/10/2024,6,05/10/2024,7,1,,79.9,79.9,01/12/2023,JARDIN DEL ZEN
01/12/2023,363,602010010140005,,J0021,AROMATIZADOR BAMBOO 180 ML ARMONÍA,180 ML,ARMONÍA,,08/11/2024,UNI,3,08/11/2024,6,07/11/2024,9,0,,79.9,0,01/12/2023,JARDIN DEL ZEN
11/06/2024,364,602010010140024,,J0021,AROMATIZADOR BAMBOO 180 ML ENERGÍA,180 ML,ENERGÍA,,30/10/2024,UNI,0,28/10/2024,4,30/10/2024,4,0,,79.9,0,,JARDIN DEL ZEN
01/12/2023,655,602010010140026,,J0021,AROMATIZADOR BAMBOO 180 ML EUCALIPTO,180 ML,EUCALIPTO,,27/08/2024,UNI,2,27/08/2024,4,13/08/2024,4,2,,79.9,159.8,01/12/2023,JARDIN DEL ZEN
01/12/2023,365,602010010140028,,J0021,AROMATIZADOR BAMBOO 180 ML FELICIDAD,180 ML,FELICIDAD,,09/11/2024,UNI,3,08/11/2024,9,09/11/2024,12,0,,79.9,0,01/12/2023,JARDIN DEL ZEN
01/12/2023,366,602010010140031,,J0021,AROMATIZADOR BAMBOO 180 ML HIERBA LUISA,180 ML,HIERBA LUISA,,13/11/2024,UNI,1,08/11/2024,8,13/11/2024,8,1,,79.9,79.9,01/12/2023,JARDIN DEL ZEN
01/12/2023,367,602010010140035,,J0021,AROMATIZADOR BAMBOO 180 ML LAVANDA,180 ML,LAVANDA,,16/11/2024,UNI,2,16/09/2024,11,16/11/2024,13,0,,79.9,0,01/12/2023,JARDIN DEL ZEN
01/12/2023,368,602010010140041,,J0021,AROMATIZADOR BAMBOO 180 ML MANDARINA,180 ML,MANDARINA,,09/04/2024,UNI,2,,0,09/04/2024,2,0,,79.9,0,01/12/2023,JARDIN DEL ZEN
01/12/2023,369,602010010140043,,J0021,AROMATIZADOR BAMBOO 180 ML MANZANA CANELA,180 ML,MANZANA CANELA,,16/11/2024,UNI,2,16/09/2024,8,16/11/2024,10,0,,79.9,0,01/12/2023,JARDIN DEL ZEN
01/12/2023,370,602010010140056,,J0021,AROMATIZADOR BAMBOO 180 ML ORQUIDEA BLANCA,180 ML,ORQUIDEA BLANCA,,16/11/2024,UNI,2,08/11/2024,48,16/11/2024,48,2,,95,190,01/12/2023,JARDIN DEL ZEN
01/12/2023,371,602010010140062,,J0021,AROMATIZADOR BAMBOO 180 ML ROSAS,180 ML,ROSAS,,29/08/2024,UNI,1,29/08/2024,2,27/08/2024,3,0,,79.9,0,01/12/2023,JARDIN DEL ZEN
01/12/2023,372,602010010140065,,J0021,AROMATIZADOR BAMBOO 180 ML SERENIDAD,180 ML,SERENIDAD,,09/11/2024,UNI,1,14/10/2024,15,09/11/2024,16,0,,79.9,0,01/12/2023,JARDIN DEL ZEN
01/12/2023,667,602010010140083,,J0021,AROMATIZADOR BAMBOO 180 ML TÉ VERBENA,180 ML,TÉ VERBENA,,09/11/2024,UNI,2,14/10/2024,7,09/11/2024,9,0,,79.9,0,01/12/2023,JARDIN DEL ZEN
01/12/2023,373,602010010140067,,J0021,AROMATIZADOR BAMBOO 180 ML TE VERDE,180 ML,TE VERDE,,08/11/2024,UNI,2,08/11/2024,5,22/10/2024,6,1,,79.9,79.9,01/12/2023,JARDIN DEL ZEN
01/12/2023,374,602010010140073,,J0021,AROMATIZADOR BAMBOO 180 ML TRANQ.,180 ML,TRANQ.,,11/11/2024,UNI,3,08/11/2024,14,11/11/2024,17,0,,79.9,0,01/12/2023,JARDIN DEL ZEN
01/12/2023,375,602010010140078,,J0021,AROMATIZADOR BAMBOO 180 ML VAINILLA,180 ML,VAINILLA,,04/11/2024,UNI,3,16/09/2024,7,04/11/2024,10,0,,79.9,0,01/12/2023,JARDIN DEL ZEN
13/08/2024,736,602010020140003,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML AMOR,180 ML,AMOR,,15/10/2024,UNI,0,14/10/2024,2,15/10/2024,2,0,,57.9,0,,JARDIN DEL ZEN
