Codigo,Modelo,Descripcion,Cant.
602010010140024,J0021,AROMATIZADOR BAMBOO 180 ML ENERGÍA,1.000
602010010140028,J0021,AROMATIZADOR BAMBOO 180 ML FELICIDAD,2.000
602010010140065,J0021,AROMATIZADOR BAMBOO 180 ML SERENIDAD,1.000
602010010140078,J0021,AROMATIZADOR BAMBOO 180 ML VAINILLA,2.000
602010020140024,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML ENERGÍA,1.000
602070010070028,J0028,FRAGANCIA 30 ML FELICIDAD,1.000
602070010070056,J0028,FRAGANCIA 30 ML ORQUIDEA BLANCA,2.000
602070010070073,J0028,FRAGANCIA 30 ML TRANQ.,2.000
602020020210005,J0058,SPRAY AROMATIZADOR 550 ML ARMONÍA,7.000
602020020210028,J0058,SPRAY AROMATIZADOR 550 ML FELICIDAD,6.000
602020020210056,J0058,SPRAY AROMATIZADOR 550 ML ORQUIDEA BLANCA,4.000
602020020210065,J0058,SPRAY AROMATIZADOR 550 ML SERENIDAD,5.000
602020020210083,J0058,SPRAY AROMATIZADOR 550 ML TÉ VERBENA,4.000
602020020210067,J0058,SPRAY AROMATIZADOR 550 ML TE VERDE,6.000
602020020210073,J0058,SPRAY AROMATIZADOR 550 ML TRANQ.,10.000
601040010040003,J0086,COLONIA 10 ML AMOR,2.000
601040010040005,J0086,COLONIA 10 ML ARMONÍA,3.000
601040010040028,J0086,COLONIA 10 ML FELICIDAD,3.000
601040010040065,J0086,COLONIA 10 ML SERENIDAD,3.000
601040010040073,J0086,COLONIA 10 ML TRANQ.,2.000
601040010140024,J0086,COLONIA 180 ML ENERGÍA,4.000
601040010140028,J0086,COLONIA 180 ML FELICIDAD,4.000
601020020070005,J0102,CREMA HUMECTANTE 30 ML ARMONÍA,2.000
601020020070028,J0102,CREMA HUMECTANTE 30 ML FELICIDAD,3.000
601020020070065,J0102,CREMA HUMECTANTE 30 ML SERENIDAD,2.000
601020020070073,J0102,CREMA HUMECTANTE 30 ML TRANQ.,2.000
601020020160028,J0102,CREMA HUMECTANTE 190 GR FELICIDAD,2.000
601080010400031,J0113,ESPUMA EXFOLIANTE 400 GR HIERBA LUISA,1.000
601080110360003,J0123,EXFOLIANTE OLEOSO 200 GR AMOR,1.000
601080110360028,J0123,EXFOLIANTE OLEOSO 200 GR FELICIDAD,1.000
601080110360065,J0123,EXFOLIANTE OLEOSO 200 GR SERENIDAD,1.000
601080110360073,J0123,EXFOLIANTE OLEOSO 200 GR TRANQ.,1.000
601100030300029,J0132,JABON DE LA ABUELA 100 GR FRUTAS SILVESTRES,2.000
601100030300036,J0132,"JABON DE LA ABUELA 100 GR LECHE, AVENA Y MIEL",2.000
601100030300037,J0132,JABON DE LA ABUELA 100 GR LIMA LAVANDA,2.000
601100290300002,J0158,JABON OLIVA 100 GR ALMENDRAS,1.000
601100290300019,J0158,JABON OLIVA 100 GR COCA MENTA,1.000
601100050000000,J0134,JABON GLICERINA - TAJADA,3.000
601100040150003,J0133,JABON ESPUMOSO ROSTRO 200 ML AMOR,3.000
601100040150008,J0133,JABON ESPUMOSO ROSTRO 200 ML BAMBOO,1.000
601100040150024,J0133,JABON ESPUMOSO ROSTRO 200 ML ENERGÍA,1.000
604010040000000,J0190,KIT BURBUJA,1.000
604010190000000,J0236,KIT ORQUIDEA BLANCA,2.000
604010300000000,J0353,KIT BUDA LIMPIADOR DE ENERGIAS,3.000
601160010000000,J0241,BLEND BABY FACE,4.000
601160020000000,J0242,BLEND POWER HAIR,3.000
604010240000003,J0267,KIT ZEN RENOVADO AMOR,1.000
604010240000005,J0267,KIT ZEN RENOVADO ARMONÍA,2.000
601030110130000,J0330,MINI BURBUJA DE BAÑO AMOR + PUMP 173 ML,1.000
601030200200000,J0339,BURBUJA DE BAÑO SERENIDAD + PUMP 520 ML,1.000
601030210200000,J0340,BURBUJA DE BAÑO ENERGÍA + PUMP 520 ML,1.000
602010020140056,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML ORQUIDEA BLANCA,2.000
602010020140065,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML SERENIDAD,1.000
602010020140073,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML TRANQ.,1.000
602027100210086,J0360,SPRAY AROMATIZADOR PREMIUM 550 ML ALPHA,3.000
602027100210087,J0360,SPRAY AROMATIZADOR PREMIUM 550 ML MARINE,2.000
602070010070005,J0028,FRAGANCIA 30 ML ARMONÍA,2.000
