F. Emision,Descripción,category,subcategory,volume,weight,fragance,other,Stock Actual,P. Unitario
15/02/2024,APAGA VELA,ACCESORIOS,,,,,,1,21.5
23/08/2024,ESPONJA TEJIDA,ACCESORIOS,,,,,,1,5.9
21/06/2024,ESPONJA VEGETAL-LOOFA,ACCESORIOS,,,,,,2,12.9
01/11/2023,PORTA INCIENSO LARGO,ACCESORIOS,,,,,,5,15
09/05/2024,PORTA POTPOURRI S/ POTPOURRI,ACCESORIOS,,,,,,1,40.5
01/11/2023,POSA VELA CERÁMICA GRANDE,ACCESORIOS,,,,,,1,27.5
08/11/2023,AROMATIZADOR BAMBOO 180 ML AMOR,AROMATIZADORES,BAMBOO,180 ML,,AMOR,,2,79.9
11/11/2023,AROMATIZADOR BAMBOO 180 ML ARMONÍA,AROMATIZADORES,BAMBOO,180 ML,,ARMONÍA,,0,79.9
03/11/2023,AROMATIZADOR BAMBOO 180 ML ENERGÍA,AROMATIZADORES,BAMBOO,180 ML,,ENERGÍA,,1,79.9
01/11/2023,AROMATIZADOR BAMBOO 180 ML EUCALIPTO,AROMATIZADORES,BAMBOO,180 ML,,EUCALIPTO,,2,79.9
06/11/2023,AROMATIZADOR BAMBOO 180 ML FELICIDAD,AROMATIZADORES,BAMBOO,180 ML,,FELICIDAD,,3,79.9
03/11/2023,AROMATIZADOR BAMBOO 180 ML HIERBA LUISA,AROMATIZADORES,BAMBOO,180 ML,,HIERBA LUISA,,-1,79.9
11/11/2023,AROMATIZADOR BAMBOO 180 ML LAVANDA,AROMATIZADORES,BAMBOO,180 ML,,LAVANDA,,1,79.9
14/11/2023,AROMATIZADOR BAMBOO 180 ML MANDARINA,AROMATIZADORES,BAMBOO,180 ML,,MANDARINA,,0,79.9
05/11/2023,AROMATIZADOR BAMBOO 180 ML MANZANA CANELA,AROMATIZADORES,BAMBOO,180 ML,,MANZANA CANELA,,4,79.9
01/11/2023,AROMATIZADOR BAMBOO 180 ML ORQUIDEA BLANCA,AROMATIZADORES,BAMBOO,180 ML,,ORQUIDEA BLANCA,,5,95
06/11/2023,AROMATIZADOR BAMBOO 180 ML ROSAS,AROMATIZADORES,BAMBOO,180 ML,,ROSAS,,2,79.9
11/11/2023,AROMATIZADOR BAMBOO 180 ML SERENIDAD,AROMATIZADORES,BAMBOO,180 ML,,SERENIDAD,,1,67.92
09/11/2023,AROMATIZADOR BAMBOO 180 ML TÉ VERBENA,AROMATIZADORES,BAMBOO,180 ML,,TÉ VERBENA,,3,79.9
08/11/2023,AROMATIZADOR BAMBOO 180 ML TE VERDE,AROMATIZADORES,BAMBOO,180 ML,,TE VERDE,,4,79.9
03/11/2023,AROMATIZADOR BAMBOO 180 ML TRANQ.,AROMATIZADORES,BAMBOO,180 ML,,TRANQUILIDAD,,3,79.9
30/11/2023,AROMATIZADOR BAMBOO 180 ML VAINILLA,AROMATIZADORES,BAMBOO,180 ML,,VAINILLA,,3,79.9
01/11/2023,AROMATIZADOR BAMBOO REPUESTO 180 ML AMOR,AROMATIZADORES,BAMBOO,180 ML,,AMOR,REPUESTOS,2,57.9
01/11/2023,AROMATIZADOR BAMBOO REPUESTO 180 ML ARMONÍA,AROMATIZADORES,BAMBOO,180 ML,,ARMONÍA,REPUESTOS,0,57.9
31/05/2024,AROMATIZADOR BAMBOO REPUESTO 180 ML ENERGÍA,AROMATIZADORES,BAMBOO,180 ML,,ENERGÍA,REPUESTOS,1,57.9
01/11/2023,AROMATIZADOR BAMBOO REPUESTO 180 ML FELICIDAD,AROMATIZADORES,BAMBOO,180 ML,,FELICIDAD,REPUESTOS,1,57.9
03/11/2023,AROMATIZADOR BAMBOO REPUESTO 180 ML HIERBA LUISA,AROMATIZADORES,BAMBOO,180 ML,,HIERBA LUISA,REPUESTOS,0,57.9
01/11/2023,AROMATIZADOR BAMBOO REPUESTO 180 ML LAVANDA,AROMATIZADORES,BAMBOO,180 ML,,LAVANDA,REPUESTOS,1,57.9
01/11/2023,AROMATIZADOR BAMBOO REPUESTO 180 ML MANZANA CANELA,AROMATIZADORES,BAMBOO,180 ML,,MANZANA CANELA,REPUESTOS,3,57.9
