F. Emision,ID Item,Barcode,C. Custom,Modelo,Descripción,Talla,Color,Cant. Equi.,F. Fin,U.Medida,Cant. Fis.,F. Ing.,Cant. Ing.,F. Sal.,Cant. Sal.,Stock Actual,Stock Equi.,P. Unitario,P. Total,F. Import,Marca
01/12/2023,584,603010010000000,,J0001,APAGA VELA,.,.,,15/11/2024,UNI,2,13/09/2024,6,15/11/2024,7,1,,21.5,21.5,01/12/2023,JARDIN DEL ZEN
01/12/2023,585,603010020000000,,J0002,CANASTA CHICA,.,.,,06/06/2024,UNI,2,,0,06/06/2024,1,1,,13.9,13.9,01/12/2023,JARDIN DEL ZEN
01/12/2023,586,60301003,,J0003,CANASTA GRANDE,.,.,,24/03/2024,UNI,1,17/01/2024,2,24/03/2024,2,1,,19.5,19.5,01/12/2023,JARDIN DEL ZEN
01/12/2023,606,603010060000000,,J0006,ESPONJA TEJIDA,.,.,,08/11/2024,UNI,4,10/10/2024,10,08/11/2024,13,1,,5.9,5.9,01/12/2023,JARDIN DEL ZEN
01/12/2023,607,603010070000000,,J0007,ESPONJA VEGETAL-LOOFA,.,.,,17/11/2024,UNI,6,15/11/2024,33,17/11/2024,36,3,,12.9,38.7,01/12/2023,JARDIN DEL ZEN
01/12/2023,577,603010100000000,,J0010,PORTA INCIENSO LARGO,.,.,,12/11/2024,UNI,3,08/11/2024,50,12/11/2024,50,4,,15,45,01/12/2023,JARDIN DEL ZEN
01/12/2023,608,603010110000000,,J0011,PORTA POTPOURRI S/ POTPOURRI,.,.,,26/09/2024,UNI,2,26/09/2024,5,18/09/2024,4,3,,40.5,121.5,01/12/2023,JARDIN DEL ZEN
01/12/2023,609,603010120000000,,J0012,POSA VELA CERÁMICA GRANDE,.,.,,06/10/2024,UNI,8,13/09/2024,13,06/10/2024,19,2,,27.5,55,01/12/2023,JARDIN DEL ZEN
01/12/2023,362,602010010140003,,J0021,AROMATIZADOR BAMBOO 180 ML AMOR,180 ML,AMOR,,18/11/2024,UNI,2,17/10/2024,13,18/11/2024,15,0,,79.9,0,01/12/2023,JARDIN DEL ZEN
01/05/2024,363,602010010140005,,J0021,AROMATIZADOR BAMBOO 180 ML ARMONÍA,180 ML,ARMONÍA,,10/11/2024,UNI,0,08/11/2024,49,10/11/2024,49,0,,79.9,0,,JARDIN DEL ZEN
30/05/2024,364,602010010140024,,J0021,AROMATIZADOR BAMBOO 180 ML ENERGÍA,180 ML,ENERGÍA,,17/11/2024,UNI,0,15/11/2024,36,17/11/2024,34,1,,79.9,159.8,,JARDIN DEL ZEN
01/12/2023,365,602010010140028,,J0021,AROMATIZADOR BAMBOO 180 ML FELICIDAD,180 ML,FELICIDAD,,17/11/2024,UNI,3,15/11/2024,78,17/11/2024,81,1,,79.9,0,01/12/2023,JARDIN DEL ZEN
04/01/2024,366,602010010140031,,J0021,AROMATIZADOR BAMBOO 180 ML HIERBA LUISA,180 ML,HIERBA LUISA,,18/11/2024,UNI,0,15/11/2024,64,18/11/2024,63,1,,79.9,79.9,,JARDIN DEL ZEN
01/12/2023,367,602010010140035,,J0021,AROMATIZADOR BAMBOO 180 ML LAVANDA,180 ML,LAVANDA,,12/11/2024,UNI,5,31/10/2024,58,12/11/2024,63,1,,79.9,0,01/12/2023,JARDIN DEL ZEN
20/12/2023,368,602010010140041,,J0021,AROMATIZADOR BAMBOO 180 ML MANDARINA,180 ML,MANDARINA,,22/08/2024,UNI,0,22/08/2024,7,16/04/2024,7,0,,79.9,0,,JARDIN DEL ZEN
01/12/2023,369,602010010140043,,J0021,AROMATIZADOR BAMBOO 180 ML MANZANA CANELA,180 ML,MANZANA CANELA,,16/11/2024,UNI,1,15/11/2024,59,16/11/2024,59,1,,79.9,79.9,01/12/2023,JARDIN DEL ZEN
01/12/2023,370,602010010140056,,J0021,AROMATIZADOR BAMBOO 180 ML ORQUIDEA BLANCA,180 ML,ORQUIDEA BLANCA,,18/11/2024,UNI,12,15/11/2024,208,18/11/2024,216,4,,95,380,01/12/2023,JARDIN DEL ZEN
20/03/2024,371,602010010140062,,J0021,AROMATIZADOR BAMBOO 180 ML ROSAS,180 ML,ROSAS,,06/05/2024,UNI,0,20/03/2024,2,06/05/2024,2,0,,79.9,0,,JARDIN DEL ZEN
01/12/2023,372,602010010140065,,J0021,AROMATIZADOR BAMBOO 180 ML SERENIDAD,180 ML,SERENIDAD,,12/11/2024,UNI,3,31/10/2024,102,12/11/2024,105,0,,79.9,0,01/12/2023,JARDIN DEL ZEN
01/12/2023,667,602010010140083,,J0021,AROMATIZADOR BAMBOO 180 ML TÉ VERBENA,180 ML,TÉ VERBENA,,16/11/2024,UNI,1,15/11/2024,73,16/11/2024,73,2,,79.9,79.9,01/12/2023,JARDIN DEL ZEN
01/12/2023,373,602010010140067,,J0021,AROMATIZADOR BAMBOO 180 ML TE VERDE,180 ML,TE VERDE,,11/11/2024,UNI,2,17/10/2024,43,11/11/2024,44,0,,79.9,79.9,01/12/2023,JARDIN DEL ZEN
01/12/2023,374,602010010140073,,J0021,AROMATIZADOR BAMBOO 180 ML TRANQ.,180 ML,TRANQ.,,06/11/2024,UNI,4,24/10/2024,106,06/11/2024,110,0,,79.9,0,01/12/2023,JARDIN DEL ZEN
01/12/2023,375,602010010140078,,J0021,AROMATIZADOR BAMBOO 180 ML VAINILLA,180 ML,VAINILLA,,16/11/2024,UNI,1,11/10/2024,36,16/11/2024,36,0,,79.9,79.9,01/12/2023,JARDIN DEL ZEN
19/04/2024,376,602010020140005,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML ARMONÍA,180 ML,ARMONÍA,,17/11/2024,UNI,0,15/11/2024,18,17/11/2024,18,0,,57.9,0,,JARDIN DEL ZEN
30/05/2024,377,602010020140024,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML ENERGÍA,180 ML,ENERGÍA,,16/11/2024,UNI,0,15/11/2024,20,16/11/2024,19,0,,57.9,57.9,,JARDIN DEL ZEN
05/12/2023,738,602010020140028,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML FELICIDAD,180 ML,FELICIDAD,,17/11/2024,UNI,0,15/11/2024,36,17/11/2024,36,0,,57.9,0,,JARDIN DEL ZEN
01/12/2023,378,602010020140031,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML HIERBA LUISA,180 ML,HIERBA LUISA,,15/11/2024,UNI,1,15/11/2024,24,21/09/2024,22,3,,57.9,173.7,01/12/2023,JARDIN DEL ZEN
01/12/2023,739,602010020140035,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML LAVANDA,180 ML,LAVANDA,,11/11/2024,UNI,2,24/10/2024,24,11/11/2024,24,1,,57.9,115.8,01/12/2023,JARDIN DEL ZEN
20/12/2023,379,602010020140043,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML MANZANA CANELA,180 ML,MANZANA CANELA,,16/11/2024,UNI,0,31/10/2024,30,16/11/2024,30,0,,57.9,0,,JARDIN DEL ZEN
01/12/2023,720,602010020140056,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML ORQUIDEA BLANCA,180 ML,ORQUIDEA BLANCA,,08/11/2024,UNI,2,08/11/2024,27,28/10/2024,27,2,,69.9,139.8,01/12/2023,JARDIN DEL ZEN
01/12/2023,652,602010020140065,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML SERENIDAD,180 ML,SERENIDAD,,31/10/2024,UNI,1,31/10/2024,38,26/10/2024,37,1,,57.9,115.8,01/12/2023,JARDIN DEL ZEN
10/01/2024,743,602010020140083,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML TÉ VERBENA,180 ML,TÉ VERBENA,,15/11/2024,UNI,0,15/11/2024,26,08/11/2024,24,1,,57.9,115.8,,JARDIN DEL ZEN
01/12/2023,380,602010020140067,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML TE VERDE,180 ML,TE VERDE,,17/10/2024,UNI,2,17/10/2024,19,13/10/2024,19,2,,57.9,115.8,01/12/2023,JARDIN DEL ZEN
20/12/2023,381,602010020140073,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML TRANQ.,180 ML,TRANQ.,,17/11/2024,UNI,0,15/11/2024,36,17/11/2024,35,1,,57.9,57.9,,JARDIN DEL ZEN
01/12/2023,768,602010020140078,,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML VAINILLA,180 ML,VAINILLA,,08/11/2024,UNI,1,08/11/2024,23,29/10/2024,22,2,,57.9,115.8,01/12/2023,JARDIN DEL ZEN
01/12/2023,622,602030010000000,,J0024,CAJONERAS,.,.,,10/10/2024,UNI,6,10/10/2024,41,29/09/2024,43,5,,28.5,114,01/12/2023,JARDIN DEL ZEN
01/12/2023,408,602070010040002,,J0028,FRAGANCIA 10 ML ALMENDRAS,10 ML,ALMENDRAS,,,UNI,1,,0,,0,1,,39.9,39.9,01/12/2023,JARDIN DEL ZEN
01/12/2023,438,602070010050002,,J0028,FRAGANCIA 20 ML ALMENDRAS,20 ML,ALMENDRAS,,22/08/2024,UNI,1,21/02/2024,2,22/08/2024,1,3,,49.9,99.8,01/12/2023,JARDIN DEL ZEN
01/12/2023,468,602070010070002,,J0028,FRAGANCIA 30 ML ALMENDRAS,30 ML,ALMENDRAS,,10/04/2024,UNI,3,10/04/2024,1,02/12/2023,1,3,,65,195,01/12/2023,JARDIN DEL ZEN
01/12/2023,469,602070010070003,,J0028,FRAGANCIA 30 ML AMOR,30 ML,AMOR,,08/11/2024,UNI,7,08/11/2024,15,02/11/2024,17,5,,65,325,01/12/2023,JARDIN DEL ZEN
01/12/2023,410,602070010040004,,J0028,FRAGANCIA 10 ML ANTI STRESS,10 ML,ANTI STRESS,,12/11/2024,UNI,1,21/08/2024,5,12/11/2024,5,1,,39.9,39.9,01/12/2023,JARDIN DEL ZEN
