Codigo,Modelo,Descripcion,Cant.
602010010140005,J0021,AROMATIZADOR BAMBOO 180 ML ARMONÍA,4.000
602010010140024,J0021,AROMATIZADOR BAMBOO 180 ML ENERGÍA,3.000
602010010140028,J0021,AROMATIZADOR BAMBOO 180 ML FELICIDAD,2.000
602010010140031,J0021,AROMATIZADOR BAMBOO 180 ML HIERBA LUISA,3.000
602010010140035,J0021,AROMATIZADOR BAMBOO 180 ML LAVANDA,2.000
602010010140043,J0021,AROMATIZADOR BAMBOO 180 ML MANZANA CANELA,3.000
602010010140056,J0021,AROMATIZADOR BAMBOO 180 ML ORQUIDEA BLANCA,4.000
602010010140065,J0021,AROMATIZADOR BAMBOO 180 ML SERENIDAD,3.000
602010010140073,J0021,AROMATIZADOR BAMBOO 180 ML TRANQ.,4.000
602010010140067,J0021,AROMATIZADOR BAMBOO 180 ML TE VERDE,2.000
602010020140005,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML ARMONÍA,2.000
602010020140024,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML ENERGÍA,2.000
602010020140028,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML FELICIDAD,2.000
602010020140056,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML ORQUIDEA BLANCA,2.000
602010020140065,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML SERENIDAD,1.000
602010020140073,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML TRANQ.,1.000
602070010070031,J0028,FRAGANCIA 30 ML HIERBA LUISA,2.000
602070010070056,J0028,FRAGANCIA 30 ML ORQUIDEA BLANCA,3.000
602070010070065,J0028,FRAGANCIA 30 ML SERENIDAD,3.000
602070010070073,J0028,FRAGANCIA 30 ML TRANQ.,3.000
602040010300004,J0050,CONO POTPOURRI 100 GR ANTI STRESS,1.000
602020020070031,J0058,SPRAY AROMATIZADOR 30 ML HIERBA LUISA,5.000
602020020070035,J0058,SPRAY AROMATIZADOR 30 ML LAVANDA,5.000
602020020070043,J0058,SPRAY AROMATIZADOR 30 ML MANZANA CANELA,3.000
602020020210005,J0058,SPRAY AROMATIZADOR 550 ML ARMONÍA,10.000
602020020210028,J0058,SPRAY AROMATIZADOR 550 ML FELICIDAD,20.000
602020020210031,J0058,SPRAY AROMATIZADOR 550 ML HIERBA LUISA,8.000
602020020210035,J0058,SPRAY AROMATIZADOR 550 ML LAVANDA,3.000
602020020210056,J0058,SPRAY AROMATIZADOR 550 ML ORQUIDEA BLANCA,25.000
602020020210065,J0058,SPRAY AROMATIZADOR 550 ML SERENIDAD,25.000
605010030000000,J0068,ALMOHADILLA DE ENSUEÑO,3.000
601010050080065,J0076,ACEITE PARA MASAJES 34 ML SERENIDAD,1.000
601010050180005,J0076,ACEITE PARA MASAJES 240 ML ARMONÍA,1.000
601010050180024,J0076,ACEITE PARA MASAJES 240 ML ENERGÍA,1.000
601010050180028,J0076,ACEITE PARA MASAJES 240 ML FELICIDAD,1.000
601030010130065,J0079,BURBUJAS DE BAÑO 173 ML SERENIDAD,2.000
601040010140005,J0086,COLONIA 180 ML ARMONÍA,8.000
601040010140073,J0086,COLONIA 180 ML TRANQ.,4.000
601030010200073,J0079,BURBUJAS DE BAÑO 520 ML TRANQ.,2.000
601080040080008,J0116,EXFOLIANTE JABONOSO 34 ML BAMBOO,3.000
601080110360028,J0123,EXFOLIANTE OLEOSO 200 GR FELICIDAD,1.000
601090010090003,J0129,GEL ANTIBACTERIAL 35 ML AMOR,1.000
601090010090024,J0129,GEL ANTIBACTERIAL 35 ML ENERGÍA,3.000
601090010090028,J0129,GEL ANTIBACTERIAL 35 ML FELICIDAD,3.000
601090010090073,J0129,GEL ANTIBACTERIAL 35 ML TRANQ.,3.000
601100030300001,J0132,JABON DE LA ABUELA 100 GR ALMENDRA VAINILLA,2.000
601100030300029,J0132,JABON DE LA ABUELA 100 GR FRUTAS SILVESTRES,2.000
601100030300036,J0132,"JABON DE LA ABUELA 100 GR LECHE, AVENA Y MIEL",2.000
601100030300037,J0132,JABON DE LA ABUELA 100 GR LIMA LAVANDA,2.000
604010240000003,J0267,KIT ZEN RENOVADO AMOR,2.000
604010240000024,J0267,KIT ZEN RENOVADO ENERGÍA,1.000
604010240000028,J0267,KIT ZEN RENOVADO FELICIDAD,2.000
604010240000073,J0267,KIT ZEN RENOVADO TRANQ.,2.000
602060020000055,J0064,VELA BOTÁNICA NARANJA,2.000
604010080000000,J0194,KIT HIERBA LUISA,2.000
604010030000000,J0189,KIT BOTANICO,2.000
