Codigo,Modelo,Descripcion,Cant.
602010020140065,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML SERENIDAD,2.000
602010020140073,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML TRANQ.,3.000
602010020140028,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML FELICIDAD,2.000
602010020140043,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML MANZANA CANELA,2.000
602010020140056,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML ORQUIDEA BLANCA,3.000
602010010140065,J0021,AROMATIZADOR BAMBOO 180 ML SERENIDAD,2.000
602010010140073,J0021,AROMATIZADOR BAMBOO 180 ML TRANQ.,4.000
602010010140043,J0021,AROMATIZADOR BAMBOO 180 ML MANZANA CANELA,2.000
602010010140035,J0021,AROMATIZADOR BAMBOO 180 ML LAVANDA,2.000
602010010140056,J0021,AROMATIZADOR BAMBOO 180 ML ORQUIDEA BLANCA,3.000
602010010140028,J0021,AROMATIZADOR BAMBOO 180 ML FELICIDAD,2.000
602030010000000,J0024,CAJONERAS,3.000
602070010040020,J0028,FRAGANCIA 10 ML COCO,1.000
602070010070024,J0028,FRAGANCIA 30 ML ENERGÍA,1.000
602070010040026,J0028,FRAGANCIA 10 ML EUCALIPTO,1.000
602070010050026,J0028,FRAGANCIA 20 ML EUCALIPTO,1.000
602070010040035,J0028,FRAGANCIA 10 ML LAVANDA,2.000
602070010040050,J0028,FRAGANCIA 10 ML MENTA,1.000
602070010070064,J0028,FRAGANCIA 30 ML SANDALO,2.000
602070010070073,J0028,FRAGANCIA 30 ML TRANQ.,5.000
602070010070065,J0028,FRAGANCIA 30 ML SERENIDAD,3.000
602080010380003,J0049,INCIENSO AMOR,3.000
602080010380005,J0049,INCIENSO ARMONÍA,2.000
602080010380065,J0049,INCIENSO SERENIDAD,4.000
602080010380073,J0049,INCIENSO TRANQ.,5.000
602040010300004,J0050,CONO POTPOURRI 100 GR ANTI STRESS,2.000
602040010300060,J0050,CONO POTPOURRI 100 GR RELAJANTE,1.000
602020020210056,J0058,SPRAY AROMATIZADOR 550 ML ORQUIDEA BLANCA,8.000
602020020210065,J0058,SPRAY AROMATIZADOR 550 ML SERENIDAD,22.000
602020020210073,J0058,SPRAY AROMATIZADOR 550 ML TRANQ.,40.000
602020020070067,J0058,SPRAY AROMATIZADOR 30 ML TE VERDE,6.000
602020020070031,J0058,SPRAY AROMATIZADOR 30 ML HIERBA LUISA,4.000
602060020000013,J0064,VELA BOTÁNICA CANELA,3.000
602060020000055,J0064,VELA BOTÁNICA NARANJA,2.000
605010020000000,J0067,ALMOHADILLA DE CUELLO,2.000
605010030000000,J0068,ALMOHADILLA DE ENSUEÑO,8.000
605020010040066,J0069,ESENCIA 10 ML STRESS FREE,8.000
605020010040011,J0069,ESENCIA 10 ML BUENAS NOCHES,5.000
605020010040052,J0069,ESENCIA 10 ML MIGRA FREE,4.000
605020010040082,J0069,ESENCIA 10 ML ADIOS ANSIEDAD,5.000
601010010120069,J0072,ACEITE NUTRITIVO 120 ML TIARE+JOJOBA,5.000
601010050180005,J0076,ACEITE PARA MASAJES 240 ML ARMONÍA,2.000
601010050180028,J0076,ACEITE PARA MASAJES 240 ML FELICIDAD,1.000
601010050180065,J0076,ACEITE PARA MASAJES 240 ML SERENIDAD,2.000
