F. Emision,ID Item,Barcode,C. Custom,Modelo,Descripción,Talla,Color,Cant. Equi.,F. Fin,U.Medida,Cant. Fis.,F. Ing.,Cant. Ing.,F. Sal.,Cant. Sal.,Stock Actual,Stock Equi.,P. Unitario,P. Total,F. Import,Marca
01/10/2023,584,603010010000000,,J0001,APAGA VELA,.,.,,,UNI,1,,0,,0,1,,21.5,21.5,01/10/2023,JARDIN DEL ZEN
01/10/2023,585,603010020000000,,J0002,CANASTA CHICA,.,.,,11/11/2024,UNI,3,,0,11/11/2024,1,2,,13.9,27.8,01/10/2023,JARDIN DEL ZEN
01/10/2023,606,603010060000000,,J0006,ESPONJA TEJIDA,.,.,,13/02/2024,UNI,2,08/01/2024,2,13/02/2024,3,1,,5.9,5.9,01/10/2023,JARDIN DEL ZEN
01/10/2023,607,603010070000000,,J0007,ESPONJA VEGETAL-LOOFA,.,.,,12/11/2024,UNI,2,20/09/2024,11,12/11/2024,12,1,,12.9,12.9,01/10/2023,JARDIN DEL ZEN
01/10/2023,577,603010100000000,,J0010,PORTA INCIENSO LARGO,.,.,,15/11/2024,UNI,8,15/11/2024,38,11/11/2024,44,2,,15,30,01/10/2023,JARDIN DEL ZEN
01/10/2023,608,603010110000000,,J0011,PORTA POTPOURRI S/ POTPOURRI,.,.,,10/11/2024,UNI,1,20/08/2024,1,10/11/2024,2,0,,40.5,0,01/10/2023,JARDIN DEL ZEN
01/10/2023,609,603010120000000,,J0012,POSA VELA CERÁMICA GRANDE,.,.,,28/09/2024,UNI,3,13/08/2024,6,28/09/2024,7,2,,27.5,55,01/10/2023,JARDIN DEL ZEN
18/12/2023,362,602010010140003,,J0021,AROMATIZADOR BAMBOO 180 ML AMOR,180 ML,AMOR,,17/11/2024,UNI,0,04/11/2024,17,17/11/2024,16,1,,79.9,79.9,,JARDIN DEL ZEN
06/11/2023,363,602010010140005,,J0021,AROMATIZADOR BAMBOO 180 ML ARMONÍA,180 ML,ARMONÍA,,10/11/2024,UNI,0,04/11/2024,15,10/11/2024,15,0,,79.9,0,,JARDIN DEL ZEN
31/05/2024,364,602010010140024,,J0021,AROMATIZADOR BAMBOO 180 ML ENERGÍA,180 ML,ENERGÍA,,15/11/2024,UNI,0,15/11/2024,12,15/11/2024,12,0,,79.9,0,,JARDIN DEL ZEN
01/10/2023,655,602010010140026,,J0021,AROMATIZADOR BAMBOO 180 ML EUCALIPTO,180 ML,EUCALIPTO,,27/09/2024,UNI,1,27/09/2024,2,16/09/2024,2,1,,79.9,79.9,01/10/2023,JARDIN DEL ZEN
06/11/2023,365,602010010140028,,J0021,AROMATIZADOR BAMBOO 180 ML FELICIDAD,180 ML,FELICIDAD,,15/11/2024,UNI,0,04/11/2024,27,15/11/2024,27,0,,79.9,0,,JARDIN DEL ZEN
06/11/2023,366,602010010140031,,J0021,AROMATIZADOR BAMBOO 180 ML HIERBA LUISA,180 ML,HIERBA LUISA,,12/11/2024,UNI,0,04/11/2024,13,12/11/2024,13,0,,79.9,0,,JARDIN DEL ZEN
17/11/2023,367,602010010140035,,J0021,AROMATIZADOR BAMBOO 180 ML LAVANDA,180 ML,LAVANDA,,01/11/2024,UNI,0,11/10/2024,9,01/11/2024,8,1,,79.9,79.9,,JARDIN DEL ZEN
10/08/2024,368,602010010140041,,J0021,AROMATIZADOR BAMBOO 180 ML MANDARINA,180 ML,MANDARINA,,14/08/2024,UNI,0,14/08/2024,2,10/08/2024,1,1,,79.9,79.9,,JARDIN DEL ZEN
06/11/2023,369,602010010140043,,J0021,AROMATIZADOR BAMBOO 180 ML MANZANA CANELA,180 ML,MANZANA CANELA,,12/11/2024,UNI,0,04/11/2024,33,12/11/2024,33,0,,79.9,0,,JARDIN DEL ZEN
01/10/2023,370,602010010140056,,J0021,AROMATIZADOR BAMBOO 180 ML ORQUIDEA BLANCA,180 ML,ORQUIDEA BLANCA,,18/11/2024,UNI,5,15/11/2024,69,18/11/2024,74,0,,95,0,01/10/2023,JARDIN DEL ZEN
08/01/2024,371,602010010140062,,J0021,AROMATIZADOR BAMBOO 180 ML ROSAS,180 ML,ROSAS,,18/10/2024,UNI,0,12/08/2024,7,18/10/2024,5,2,,79.9,159.8,,JARDIN DEL ZEN
06/11/2023,372,602010010140065,,J0021,AROMATIZADOR BAMBOO 180 ML SERENIDAD,180 ML,SERENIDAD,,17/11/2024,UNI,0,04/11/2024,34,17/11/2024,33,1,,79.9,79.9,,JARDIN DEL ZEN
06/11/2023,667,602010010140083,,J0021,AROMATIZADOR BAMBOO 180 ML TÉ VERBENA,180 ML,TÉ VERBENA,,01/11/2024,UNI,0,25/10/2024,14,01/11/2024,14,0,,79.9,0,,JARDIN DEL ZEN
17/11/2023,373,602010010140067,,J0021,AROMATIZADOR BAMBOO 180 ML TE VERDE,180 ML,TE VERDE,,08/11/2024,UNI,0,08/11/2024,18,27/10/2024,16,2,,79.9,159.8,,JARDIN DEL ZEN
06/11/2023,374,602010010140073,,J0021,AROMATIZADOR BAMBOO 180 ML TRANQ.,180 ML,TRANQ.,,13/11/2024,UNI,0,13/11/2024,42,13/11/2024,42,0,,79.9,0,,JARDIN DEL ZEN
