Codigo,Modelo,Descripcion,Cant.
602010010140005,J0021,AROMATIZADOR BAMBOO 180 ML ARMONÍA,1.000
602010010140024,J0021,AROMATIZADOR BAMBOO 180 ML ENERGÍA,2.000
602010010140028,J0021,AROMATIZADOR BAMBOO 180 ML FELICIDAD,2.000
602010010140031,J0021,AROMATIZADOR BAMBOO 180 ML HIERBA LUISA,1.000
602010010140043,J0021,AROMATIZADOR BAMBOO 180 ML MANZANA CANELA,2.000
602010010140056,J0021,AROMATIZADOR BAMBOO 180 ML ORQUIDEA BLANCA,3.000
602010010140065,J0021,AROMATIZADOR BAMBOO 180 ML SERENIDAD,1.000
602010010140073,J0021,AROMATIZADOR BAMBOO 180 ML TRANQ.,2.000
601040010040005,J0086,COLONIA 10 ML ARMONÍA,3.000
601040010040065,J0086,COLONIA 10 ML SERENIDAD,4.000
601040010140005,J0086,COLONIA 180 ML ARMONÍA,2.000
601040010140065,J0086,COLONIA 180 ML SERENIDAD,3.000
601040010140073,J0086,COLONIA 180 ML TRANQ.,9.000
601020020070003,J0102,CREMA HUMECTANTE 30 ML AMOR,2.000
601020020070005,J0102,CREMA HUMECTANTE 30 ML ARMONÍA,1.000
601020020070024,J0102,CREMA HUMECTANTE 30 ML ENERGÍA,2.000
601020020160005,J0102,CREMA HUMECTANTE 190 GR ARMONÍA,2.000
601020020160028,J0102,CREMA HUMECTANTE 190 GR FELICIDAD,1.000
601020020160073,J0102,CREMA HUMECTANTE 190 GR TRANQ.,2.000
602040010300080,J0050,CONO POTPOURRI 100 GR AROMAS DEL BOSQUE,1.000
602040010300025,J0050,CONO POTPOURRI 100 GR ENERGIZANTE,1.000
603010070000000,J0007,ESPONJA VEGETAL-LOOFA,2.000
601080040080008,J0116,EXFOLIANTE JABONOSO 34 ML BAMBOO,2.000
601080040080023,J0116,EXFOLIANTE JABONOSO 34 ML DURAZNO MANZANA,1.000
601080040170028,J0116,EXFOLIANTE JABONOSO 220 ML FELICIDAD,1.000
601080040170065,J0116,EXFOLIANTE JABONOSO 220 ML SERENIDAD,1.000
601080040170073,J0116,EXFOLIANTE JABONOSO 220 ML TRANQ.,1.000
601080110360003,J0123,EXFOLIANTE OLEOSO 200 GR AMOR,1.000
602070010040056,J0028,FRAGANCIA 10 ML ORQUIDEA BLANCA,3.000
602070010070056,J0028,FRAGANCIA 30 ML ORQUIDEA BLANCA,3.000
602070010070073,J0028,FRAGANCIA 30 ML TRANQ.,2.000
601100010300053,J0130,JABON AROMANDINA 100 GR MUÑA,1.000
601100030300029,J0132,JABON DE LA ABUELA 100 GR FRUTAS SILVESTRES,1.000
601100030300036,J0132,"JABON DE LA ABUELA 100 GR LECHE, AVENA Y MIEL",1.000
601100040150024,J0133,JABON ESPUMOSO ROSTRO 200 ML ENERGÍA,1.000
601100040150067,J0133,JABON ESPUMOSO ROSTRO 200 ML TE VERDE,3.000
602060020000013,J0064,VELA BOTÁNICA CANELA,1.000
602020020210005,J0058,SPRAY AROMATIZADOR 550 ML ARMONÍA,3.000
602020020210024,J0058,SPRAY AROMATIZADOR 550 ML ENERGÍA,4.000
602020020210056,J0058,SPRAY AROMATIZADOR 550 ML ORQUIDEA BLANCA,5.000
602020020210073,J0058,SPRAY AROMATIZADOR 550 ML TRANQ.,14.000
604010240000003,J0267,KIT ZEN RENOVADO AMOR,1.000
604010240000024,J0267,KIT ZEN RENOVADO ENERGÍA,1.000
604010240000065,J0267,KIT ZEN RENOVADO SERENIDAD,1.000
604010240000073,J0267,KIT ZEN RENOVADO TRANQ.,1.000
602027100210087,J0360,SPRAY AROMATIZADOR PREMIUM 550 ML MARINE,3.000
601130070000000,J0207,SALES EN BALA CAJA X 4 UNIDADES,1.000
