NAME,TAMBURCO,GUADALUPE ,,
ABAMEX X 1.8 EC X 1 LT,12,0,,
ABRAZADERA  BOMBA,,5,,
ACARE EC X 1 LT,20,0,,
ACARE EC X 1/4 LT,26,0,,
ACIGIB 10% (CJA X10 und.),932,0,,
AFFLY 1/4 LT,92,48,,
AGROSTEMIN X 1/4 LT,69,0,,
AGROSTEMIN X LT,,12,,
AGROSTEMIN X 500 ML,,24,,
ANILLO TUBO ATOMIZADOR,,20,,
ANILLO 15,,24,,
ANILLO GARFIADO,,15,,
ANILLO PIEZA DE RETENCION,,19,,
PIEZA DE RETENCION ,,20,,
ALAMBRE GALVANIZADO Nº 16 PRODAC,172,3,,
ALAMBRE GALVANIZADO N°20 PRODAC,102,0,,
ALAMBRE N° 16 PRODAC,12600,480,,
ALAMBRE N° 8 PRODAC,14260,200,,
ALGARIUM xLT),1,0,,
AMISTAR TOP 250 ML,4,0,,
APLICADOR SILICONA TIPO ESQUELETO TRUPER,16,0,,
ATOMIZADORA SOLO 423 DE 15 LT,1,0,,
"ATTACK X 1/2 KG			",285,11,,
"ATTACK X 1 KG			",131,25,,
ATTACK X 200 GRS,100,40,,
AUTOPERFORANTE P/BROCA ZINC. 1/4 X 2 1/2 C/ARAND. NEOP.,4950,,,
AUTOPERFORANTE P/BROCA ZINC. 1/4 X 4 C/ARAND. NEOP.,105,,,
AUTOPERFORANTE P/BROCA ZINC. 1/4 X 5 C/ARAND. NEOP.,10026,900,,
BALDOSA MULTIPLACA CIELO 0.605X0.605,1464,1123,,
BALDOSA MULTIPLACA CIELO 0.1.22X0.605,168,0,,
BALDOSA SERENE-BET 397 2X4X1/2 BR,520,26,,
BAZUKA LT,323,43,,
BEST WATER X 1/2 LT,24,,,
BIOZYME LT,8,,,
BIOZYME 1/2 LT,,33,,
BIOZYME 1/4 LT,377,35,,
BLOQUETA 12X30 LARK,3152,2,,
BLOQUETA 15X30 LARK,3591,1,,
BOMBARDA 1/4,37,0,,
"BOTRIZIN X 1 LT			",43,12,,
CALAMINA 3.60X0.80X0.14,88,3,,
CALAMINA 3.60X0.80X0.18,,5,,
CALAMINA 3.60X0.80X0.20,404,,,
CALAMINA 3.60X0.80X0.22,39,5,,
CALAMINA PREPINTADA 3.60X0.80X0.23,796,,,
CAPUCHONES,10000,700,,
CARRETILLA TRUPER,3,8,,
CEMENTO APU,1050,0,,
CEMENTO SOL TIPO I,201,0,,
"CICLON 1/2 LT			",15,24,,
CICLON 1/4 LT,5,,,
CICLON X LT,15,,,
CILINDRO (44001681),14,,,
CINTA MALLA FIBRA D VIDRIO 45M (ROLLO),65,3,,
CINTA MALLA FIBRA D VIDRIO 20M (ROLLO),55,17,,
CINTA MALLA FIBRA D VIDRIO 90M (ROLLO),45,18,,
"CINTA PAPEL GYPLAC 20M (ROLLO),",77,17,,
"CINTA PAPEL GYPLAC 45M (130') (ROLLO),",72,22,,
"CINTA PAPEL GYPLAC 75M (250') (ROLLO),",57,25,,
CINTA TEFLON ,30,,,
CLAVO 1 1/2 PRODAC,598.5,30,,
CLAVO 1  PRODAC,625,30,,
CLAVO 2 1/2 PRODAC,4217,120,,
CLAVO 2 1/2 SIDER PERU,1520,45,,
CLAVO 2 PRODAC,2493,180,,
CLAVO 2 SIDER PERU,150,95,,
CLAVO 3 PRODAC,4533,150,,
CLAVO 3 SIDER PERU,350,60,,
CLAVO 4 SIDER PERU,3406,20,,
CLAVO 4 PRODAC,,30,,
CLAVO 5 PRODAC,1145.5,,,
CLAVO 6 PRODAC,750,30,,
CLAVO 7 PRODAC,150,60,,
"CLAVO ALCAYATA ESTR. 3.7X25mm - 1/2kg ""1""",43,5,,
"CLAVO ALCAYATA ESTR. 3.7X38mm - 1/2kg ""1 1/2""",7,5,,
"CLAVO ALCAYATA ESTR. 3.7X50mm - 1/2kg ""2""",7,3,,
"CLAVO ALCAYATA ESTR. 4.3X75mm - 1/2kg 3""",7,2,,
"CLAVO AUTOPERFORANT 1""X#10(4.8MM)X1000UN",1500,250,,
"CLAVO AUTOPERFORANT 1 1/2""X#10X1000UN",750,0,,
"CLAVO AUTOPERFORANT 2 1/2""X#10 X1000UN",2000,500,,
CLAVO CALAMINA 2 1/2 PRODAC,192,75,,
CLAVO CLIP ANG. C/PIN Y TAR. (CIENTO),120,9,,
"CLAVO PIN 1"" (CIENTO)",35,17,,
"CLAVO ESTRIADO VERT 2.7X25mm - 1/2kg 1""",15,9,,
CLAVO ESTRIADO VERT 3.5X50MM - 1/2 KG 2,41,13,,
CLAVO ESTRIADO VERT 3.5X63MM - 1/2 KG 2 1/2,385,15,,
CLAVO ESTRIADO VERT 4.3X75MM - 1/2 KG 3,297,8,,
"CLAVO ESTRIADO VERT 4.3X100mm - 1/2kg 4""",22,7,,
DISCO RAYADO,,19,,
ENZIPROM 500 ML,,12,,
EMBUDO COMPLETO,,5,,
EMPUÑADURA,,5,,
CLORURO DE POTASIO X 50 KG,2,37,,
"UND CODO PVC SAL 2"" X 45º PAVCO",237,51,,
"UND CODO PVC SAL 2"" X 90º PAVCO",184,0,,
"UND CODO PVC SAL 4"" X 2"" PAVCO",24,10,,
"UND CODO PVC SAL 4"" X 45º PAVCO",72,1,,
"UND CODO PVC SAL 4"" X 90º PAVCO",34,1,,
"UND CODO PVC SAP DE 1/2 X 90""C-10 SP PAVCO",6,0,,
"UND TEE PVC SAL 2"" X 2"" PAVCO",149,15,,
"UND TEE PVC SAL 4"" X 2"" PAVCO",39,0,,
"UND TEE PVC SAL 4"" X 4"" PAVCO",64,7,,
"UND TEE PVC SAL SANITARIO 2"" X 2"" PAVCO",53,5,,
"UND TEE PVC SAL SANITARIO 4"" X 4"" PAVCO",16,0,,
UND TEE PVC SAP DE 1/2 C-10 SP PAVCO,114,24,,
"UND YEE PVC SAL 2"" X 2"" PAVCO",44,8,,
"UND YEE PVC SAL 4"" X 2"" PAVCO",52,0,,
"UND YEE PVC SAL 4"" X 4"" PAVCO",32,3,,
UND CAJA PVC SELL LUZ RECTANGULAR PAVCO,290,0,,
UND CAJA PVC SELL LUZ OCTAGONAL PAVCO,0,34,,
PEGAMENTO PVC DE 1/8 DORADO PAVCO,,0,,
UND 1/32 GLN PEGAMENTO DORADO PAVCO,,1,,
UND ADAPTADOR PVC SAP DE 1/2 C-10 PAVCO,631,50,,
"UND CURVA PVC SELL LUZ DE 1"" PAVCO",129,0,,
UND CURVA PVC SELL LUZ DE 3/4 PAVCO,519,115,,
UND TUBO PVC SAP DE 1/2 C-10 C/ROSCA PAVCO,27,0,,
UND TUBO PVC SAP DE 1/2 C-10 SP PAVCO,23,0,,
"UND TUBO PVC SELL LUZ DE 1"" PAVCO",15,0,,
UND TUBO PVC SELL LUZ DE 3/4 PAVCO,122,42,,
"UND TUBO PVC SAL 2"" X 3 MTS PAVCO",61,16,,
"UND TUBO PVC SAL 2"" X 3 MTS  SANTO DOMINGO",28,0,,
"UND TUBO PVC SAL 4"" x 3 MTS PAVCO",59,0,,
COMBA DE 4 LBS,3,0,,
CUMBRERA ART. PERFIL 4 INF GRISS,116,0,,
CUMBRERA ART. PERFIL 4 SUP GRISS,2,0,,
CUMBRERA INFERIOR GRAN ONDA ,0,10,,
CUMBRERA SUPERIOR GRAN ONDA,75,10,,
CUMBRERA INFERIOR TEJA ANDINA,256,30,,
CUMBRERA SUPERIOR TEJA ANDINA,115,9,,
CURTINE -V X 1 KG,116,20,,
CYPERKLIN LT,78,23,,
CYPERKLIN 1/2,230,3,,
CYPERKLIN 1/4,804,11,,
DESTRUCTOR X 1 LT,112,48,,
"DISCO CORTE FE-INOX BNA12 4-1/2""X3/64""",1011,25,,
"DISCO CORTE FE-INOX BNA12 DE 7""X1/16""",1143,60,,
"DISCO CORTE FE-INOX BNA32 DE 14""X7/64""",31,0,,
"ELECPRO AWS E 6011 - 1/8"" (5KG)",10,27,,
"ELECPRO AWS E 7018 - 1/8"" (5KG)",15,0,,
ENGEO X LT,48,0,,
FETRILON COMBI 1 KG,25,0,,
FIERRO DE 1/4 CORRUGADO SIDER PERU,3171,34,,
FIERRO DE 8MM SIDER PERU ,1987,67,,
FIERRO DE 3/8 SIDER PERU,1997,100,,
FIERRO DE 12MM SIDER PERU,589,50,,
FIERRO DE 1/2 SIDER PERU,1699,33,,
FIERRO DE 5/8 SIDER PERU,1320,22,,
FIERRO DE 3/4 SIDER PERU,375,6,,
FIERRO DE 1 SIDER PERU,98,0,,
FIERRO DE 3/8 PRODAC,607,0,,
FIERRO DE 1/2 PRODAC,336,0,,
FIERRO DE 5/8 PRODAC,33,0,,
FITOKLIN 1/4,194,20,,
FOLIO GOLD 440 X 1 LT,26,0,,
FOSFATO DIAMONICO X 50 KG,28,7,,
FULMINANTE MARRON CALIBRE 22 (CIENTO),413,66,,
FULMINANTE VERDE CALIBRE 22 (CIENTO),103,0,,
FUMIGADORA ROYAL CONDOR CLASICA,0,1,,
FUMIGADORA SOLO 425,5,5,,
FUMIGADORA DOMESTIC,,0,,
FUMIGADORA 435 20LT,,3,,
FURIA 1/4 LT,31,0,,
FURIA 1 LT,7,0,,
GRAN ONDA ANDINA 3.05X1.10MTS,65,57,,
GRAPA PARA MALLA GANADERA CAJA VERDE,420,60,,
GYPLAC RH X 1.22X2.44 X 12.7,85,0,,
GYPLAC ST 1220x2440x12.7 Extraliviana-1/2,215,89,,
GYPLAC RH 1220x2440x5/8,65,0,,
GYPLAC CIEL 1220X2440X7.0MM,53,0,,
GYPLAC ST 1220x2440x9.5,169,58,,
HARD TOG X 1 LT,225,48,,
HERBIAMINA LT,12,0,,
HUMITECH 1 LT,,23,,
HOJANCHA X1 LT,,36,,
KARATE 1/4,13,0,,
KASUMIN X 1/2,18,23,,
K-ÑON 1LT,186,21,,
K-ÑON 1/4,1025,0,,
LADRILLO KINKON 18 HUECOS LARK,4065,4,,
LADRILLO PASTELERO,435,0,,
K-ÑON 1/2,319,24,,
LANA R8-65mmx1.20x9.25m-2 Rollos 22.20M2 ,15,2,,
MALATHION 1/2 KG,118,0,,
MALATHION KG,750,0,,
MALLA CUADRADA 1/2X21BWG-0.9X30M PES-P+,3,0,,
"MALLA CUAD PVC 1/2""X0.58MMX0.9X30M-ECONO",7,1,,
MALLA CUADRADA 1/2X23BWG-0.9X30M-LIV P+,18,1,,
MALLA CUADRADA 3/8X24BWG-0.9X30M-LIV P+,69,5,,
MALLA GANADERA MALVINAS,20,0,,
MALLA GANADERA ANDINO,20,2,,
MALLA HEX 3/4-0.90X30 MT (5kg),30,3,,
MALLA RASCHEL 65% 4.2X100 VC ROL,1,0,,
MALLKI FULVICO X 1 LT,9,10,,
MALLKI MA2030 X 25 KG,671,47,,
MANGUERA SOLO (3000064510),8,10,,
MASILLA GYPLAC EN PASTA BALDE 27KG,1,3,,
MASILLA BOLSA X 5 KG CTK,5,7,,
MASILLA GYPLAC 90MIN 25 KG,40,7,,
MERTECT 500 SC X 100 ML,44,0,,
MICROTHIOL GD X1KG,50,0,,
MOLIMAX 202020 X 50 KG,54,15,,
MOLIMAX PAPA SIERRA X 50 KG,7,140,,
MOLIMAX 151515,,9,,
MULTIPLACA 1.22X2.44X4MM..,148,0,,
NITRATO DE AMONIO X 50 KG,1,1,,
NUTRIDOR N30 X LT,34,0,,
OLIGOMIX X 100 GRS,169,0,,
PALANCA DE FIBRA (407426225),18,0,,
"PARANTE 38 X 38 X 0.45 X 3 GALV,",964,27,,
"PARANTE 64 X 38 X 0.45 X 3 GALV,",240,88,,
"PARANTE 89 X 38 X 0.45 X 3 GALV,",534,15,,
PEGASOL LT,52,0,,
PEGASOL 1/4,69,23,,
PEGAMENTO PVC DE 1/32 DOR.PAVCO,18,0,,
PEGAMENTO PVC DE 1/8 DOR.PAVCO,2,0,,
PERFIL 4 ANDINO DE 3.05X1.10MTS,176,0,,
