F. Emision,ID Item,Barcode,C. Custom,Modelo,Descripción,Talla,Color,Cant. Equi.,F. Fin,U.Medida,Cant. Fis.,F. Ing.,Cant. Ing.,F. Sal.,Cant. Sal.,Stock Actual,Stock Equi.,P. Unitario,P. Total,F. Import,Marca
01/10/2023,584,603010010000000,,J0001,APAGA VELA,.,.,,12/09/2024,UNI,1,,0,12/09/2024,1,0,,21.5,0,16/10/2023,JARDIN DEL ZEN
01/10/2023,606,603010060000000,,J0006,ESPONJA TEJIDA,.,.,,14/04/2024,UNI,5,01/10/2023,1,14/04/2024,6,0,,5.9,0,16/10/2023,JARDIN DEL ZEN
16/10/2023,607,603010070000000,,J0007,ESPONJA VEGETAL-LOOFA,.,.,,27/10/2024,UNI,2,16/09/2024,38,27/10/2024,38,2,,12.9,25.8,16/10/2023,JARDIN DEL ZEN
16/10/2023,582,603010080000000,,J0008,GUANTES EXFOLIANTES,.,.,,09/09/2024,UNI,4,,0,09/09/2024,4,0,,18.5,0,16/10/2023,JARDIN DEL ZEN
16/10/2023,577,603010100000000,,J0010,PORTA INCIENSO LARGO,.,.,,16/09/2024,UNI,5,16/09/2024,11,05/09/2024,14,2,,15,30,16/10/2023,JARDIN DEL ZEN
16/10/2023,608,603010110000000,,J0011,PORTA POTPOURRI S/ POTPOURRI,.,.,,11/09/2024,UNI,2,11/09/2024,3,28/07/2024,4,1,,40.5,40.5,16/10/2023,JARDIN DEL ZEN
16/10/2023,609,603010120000000,,J0012,POSA VELA CERÁMICA GRANDE,.,.,,11/09/2024,UNI,2,11/09/2024,11,03/08/2024,10,3,,27.5,82.5,16/10/2023,JARDIN DEL ZEN
04/10/2023,362,602010010140003,,J0021,AROMATIZADOR BAMBOO 180 ML AMOR,180 ML,AMOR,,18/11/2024,UNI,0,18/11/2024,24,09/11/2024,22,2,,79.9,159.8,,JARDIN DEL ZEN
06/11/2023,363,602010010140005,,J0021,AROMATIZADOR BAMBOO 180 ML ARMONÍA,180 ML,ARMONÍA,,18/11/2024,UNI,0,04/11/2024,25,18/11/2024,25,0,,79.9,0,,JARDIN DEL ZEN
01/10/2023,364,602010010140024,,J0021,AROMATIZADOR BAMBOO 180 ML ENERGÍA,180 ML,ENERGÍA,,18/11/2024,UNI,0,18/11/2024,46,16/11/2024,44,2,,79.9,159.8,,JARDIN DEL ZEN
