Codigo,Modelo,Descripcion,Cant.
602020020210028,J0058,SPRAY AROMATIZADOR 550 ML FELICIDAD,15.000
602020020210056,J0058,SPRAY AROMATIZADOR 550 ML ORQUIDEA BLANCA,18.000
602020020210065,J0058,SPRAY AROMATIZADOR 550 ML SERENIDAD,12.000
602020020210073,J0058,SPRAY AROMATIZADOR 550 ML TRANQ.,20.000
602027100210087,J0360,SPRAY AROMATIZADOR PREMIUM 550 ML MARINE,4.000
602027100210086,J0360,SPRAY AROMATIZADOR PREMIUM 550 ML ALPHA,4.000
601040010040003,J0086,COLONIA 10 ML AMOR,4.000
601040010040005,J0086,COLONIA 10 ML ARMONÍA,4.000
601040010040024,J0086,COLONIA 10 ML ENERGÍA,4.000
601040010040028,J0086,COLONIA 10 ML FELICIDAD,4.000
601040010040065,J0086,COLONIA 10 ML SERENIDAD,6.000
601040010040073,J0086,COLONIA 10 ML TRANQ.,6.000
601040010140028,J0086,COLONIA 180 ML FELICIDAD,4.000
601040010140073,J0086,COLONIA 180 ML TRANQ.,15.000
601080040170028,J0116,EXFOLIANTE JABONOSO 220 ML FELICIDAD,3.000
601080040170065,J0116,EXFOLIANTE JABONOSO 220 ML SERENIDAD,3.000
601010050180005,J0076,ACEITE PARA MASAJES 240 ML ARMONÍA,1.000
601010050180028,J0076,ACEITE PARA MASAJES 240 ML FELICIDAD,1.000
602080010380028,J0049,INCIENSO FELICIDAD,6.000
602080010380073,J0049,INCIENSO TRANQ.,6.000
604010240000028,J0267,KIT ZEN RENOVADO FELICIDAD,1.000
604010240000065,J0267,KIT ZEN RENOVADO SERENIDAD,2.000
604010240000073,J0267,KIT ZEN RENOVADO TRANQ.,2.000
604010110000000,J0197,KIT FRESH VERBENA,1.000
604010130000000,J0199,KIT TETERA,1.000
602010010140003,J0021,AROMATIZADOR BAMBOO 180 ML AMOR,1.000
602010010140005,J0021,AROMATIZADOR BAMBOO 180 ML ARMONÍA,2.000
602010010140024,J0021,AROMATIZADOR BAMBOO 180 ML ENERGÍA,4.000
602010010140028,J0021,AROMATIZADOR BAMBOO 180 ML FELICIDAD,2.000
602010010140035,J0021,AROMATIZADOR BAMBOO 180 ML LAVANDA,1.000
602010010140041,J0021,AROMATIZADOR BAMBOO 180 ML MANDARINA,1.000
602010010140043,J0021,AROMATIZADOR BAMBOO 180 ML MANZANA CANELA,2.000
602010010140073,J0021,AROMATIZADOR BAMBOO 180 ML TRANQ.,2.000
602010020140005,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML ARMONÍA,1.000
602010020140024,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML ENERGÍA,2.000
602010020140028,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML FELICIDAD,1.000
602010020140043,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML MANZANA CANELA,1.000
602010020140056,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML ORQUIDEA BLANCA,2.000
602010020140073,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML TRANQ.,1.000
605020010040082,J0069,ESENCIA 10 ML ADIOS ANSIEDAD,4.000
601160010000000,J0241,BLEND BABY FACE,4.000
601010010080068,J0072,ACEITE NUTRITIVO 34 ML TIARE,4.000
601010010120068,J0072,ACEITE NUTRITIVO 120 ML TIARE,4.000
601100100320032,J0139,JABON HERBAL 180 GR HUMECTANTE,8.000
601100100320063,J0139,JABON HERBAL 180 GR RUDA,4.000
602070010040004,J0028,FRAGANCIA 10 ML ANTI STRESS,3.000
602070010040090,J0028,FRAGANCIA 10 ML HIERBA LUISA  SILVESTRE,1.000
602070010040050,J0028,FRAGANCIA 10 ML MENTA,2.000
602070010040083,J0028,FRAGANCIA 10 ML TÉ VERBENA,1.000
602070010040078,J0028,FRAGANCIA 10 ML VAINILLA,1.000
602070010050013,J0028,FRAGANCIA 20 ML CANELA,1.000
602070010050031,J0028,FRAGANCIA 20 ML HIERBA LUISA,1.000
602070010050035,J0028,FRAGANCIA 20 ML LAVANDA,1.000
602070010050067,J0028,FRAGANCIA 20 ML TE VERDE,1.000
602070010070005,J0028,FRAGANCIA 30 ML ARMONÍA,4.000
602070010070024,J0028,FRAGANCIA 30 ML ENERGÍA,4.000
602070010070028,J0028,FRAGANCIA 30 ML FELICIDAD,4.000
602070010070065,J0028,FRAGANCIA 30 ML SERENIDAD,4.000
602070010070073,J0028,FRAGANCIA 30 ML TRANQ.,4.000
604010160000000,J0202,KIT VELA BOTÁNICA,1.000
603010010000000,J0001,APAGA VELA,2.000
601030180200000,J0337,BURBUJA DE BAÑO TRANQ + PUMP 520 ML,1.000
601030140130000,J0333,MINI BURBUJA DE BAÑO SERENIDAD + PUMP 173 ML,1.000
601030150130000,J0334,MINI BURBUJA DE BAÑO FELICIDAD + PUMP 173 ML,1.000
602010020140083,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML TÉ VERBENA,2.000
