Category,Description,Tag1,Tag2,brand_id
Accesorios,APAGA VELA,,,1
Canastas,CANASTA CHICA,,,1
Canastas,CANASTA GRANDE,,,1
Esponjas,ESPONJA TEJIDA,,,1
Esponjas,ESPONJA VEGETAL-LOOFA,,,1
Accesorios,GUANTES EXFOLIANTES,,,1
Accesorios,PORTA INCIENSO LARGO,,,1
Accesorios,PORTA POTPOURRI S/ POTPOURRI,,,1
Accesorios,POSA VELA CERÁMICA GRANDE,,,1
Aromatizadores,AROMATIZADOR BAMBOO 180 ML AMOR,180 ML,AMOR,1
Aromatizadores,AROMATIZADOR BAMBOO 180 ML ARMONÍA,180 ML,ARMONÍA,1
Aromatizadores,AROMATIZADOR BAMBOO 180 ML ENERGÍA,180 ML,ENERGÍA,1
Aromatizadores,AROMATIZADOR BAMBOO 180 ML EUCALIPTO,180 ML,EUCALIPTO,1
Aromatizadores,AROMATIZADOR BAMBOO 180 ML FELICIDAD,180 ML,FELICIDAD,1
Aromatizadores,AROMATIZADOR BAMBOO 180 ML HIERBA LUISA,180 ML,HIERBA LUISA,1
Aromatizadores,AROMATIZADOR BAMBOO 180 ML LAVANDA,180 ML,LAVANDA,1
Aromatizadores,AROMATIZADOR BAMBOO 180 ML MANDARINA,180 ML,MANDARINA,1
Aromatizadores,AROMATIZADOR BAMBOO 180 ML MANZANA CANELA,180 ML,MANZANA CANELA,1
Aromatizadores,AROMATIZADOR BAMBOO 180 ML ORQUIDEA BLANCA,180 ML,ORQUIDEA BLANCA,1
Aromatizadores,AROMATIZADOR BAMBOO 180 ML ROSAS,180 ML,ROSAS,1
Aromatizadores,AROMATIZADOR BAMBOO 180 ML SERENIDAD,180 ML,SERENIDAD,1
Aromatizadores,AROMATIZADOR BAMBOO 180 ML TÉ VERBENA,180 ML,TÉ VERBENA,1
Aromatizadores,AROMATIZADOR BAMBOO 180 ML TE VERDE,180 ML,TE VERDE,1
Aromatizadores,AROMATIZADOR BAMBOO 180 ML TRANQ.,180 ML,TRANQ.,1
Aromatizadores,AROMATIZADOR BAMBOO 180 ML VAINILLA,180 ML,VAINILLA,1
Aromatizadores,AROMATIZADOR BAMBOO REPUESTO 180 ML AMOR,180 ML,AMOR,1
Aromatizadores,AROMATIZADOR BAMBOO REPUESTO 180 ML ARMONÍA,180 ML,ARMONÍA,1
Aromatizadores,AROMATIZADOR BAMBOO REPUESTO 180 ML ENERGÍA,180 ML,ENERGÍA,1
Aromatizadores,AROMATIZADOR BAMBOO REPUESTO 180 ML EUCALIPTO,180 ML,EUCALIPTO,1
Aromatizadores,AROMATIZADOR BAMBOO REPUESTO 180 ML FELICIDAD,180 ML,FELICIDAD,1
Aromatizadores,AROMATIZADOR BAMBOO REPUESTO 180 ML HIERBA LUISA,180 ML,HIERBA LUISA,1
Aromatizadores,AROMATIZADOR BAMBOO REPUESTO 180 ML LAVANDA,180 ML,LAVANDA,1
Aromatizadores,AROMATIZADOR BAMBOO REPUESTO 180 ML MANDARINA,180 ML,MANDARINA,1
Aromatizadores,AROMATIZADOR BAMBOO REPUESTO 180 ML MANZANA CANELA,180 ML,MANZANA CANELA,1
Aromatizadores,AROMATIZADOR BAMBOO REPUESTO 180 ML ORQUIDEA BLANCA,180 ML,ORQUIDEA BLANCA,1
Aromatizadores,AROMATIZADOR BAMBOO REPUESTO 180 ML ROSAS,180 ML,ROSAS,1
Aromatizadores,AROMATIZADOR BAMBOO REPUESTO 180 ML SERENIDAD,180 ML,SERENIDAD,1
Aromatizadores,AROMATIZADOR BAMBOO REPUESTO 180 ML TÉ VERBENA,180 ML,TÉ VERBENA,1
Aromatizadores,AROMATIZADOR BAMBOO REPUESTO 180 ML TE VERDE,180 ML,TE VERDE,1
Aromatizadores,AROMATIZADOR BAMBOO REPUESTO 180 ML TRANQ.,180 ML,TRANQ.,1
Aromatizadores,AROMATIZADOR BAMBOO REPUESTO 180 ML VAINILLA,180 ML,VAINILLA,1
Accesorios,CAJONERAS,,,1
Fragancias,FRAGANCIA 10 ML ALMENDRAS,10 ML,ALMENDRAS,1
Fragancias,FRAGANCIA 20 ML ALMENDRAS,20 ML,ALMENDRAS,1
Fragancias,FRAGANCIA 30 ML ALMENDRAS,30 ML,ALMENDRAS,1
Fragancias,FRAGANCIA 30 ML AMOR,30 ML,AMOR,1
Fragancias,FRAGANCIA 10 ML ANTI STRESS,10 ML,ANTI STRESS,1
Fragancias,FRAGANCIA 20 ML ANTI STRESS,20 ML,ANTI STRESS,1
Fragancias,FRAGANCIA 30 ML ANTI STRESS,30 ML,ANTI STRESS,1
Fragancias,FRAGANCIA 10 ML ARMONÍA,10 ML,ARMONÍA,1
Fragancias,FRAGANCIA 30 ML ARMONÍA,30 ML,ARMONÍA,1
Fragancias,FRAGANCIA 10 ML BAMBOO,10 ML,BAMBOO,1
Fragancias,FRAGANCIA 20 ML BAMBOO,20 ML,BAMBOO,1
Fragancias,FRAGANCIA 30 ML BAMBOO,30 ML,BAMBOO,1
Fragancias,FRAGANCIA 10 ML CANELA,10 ML,CANELA,1
Fragancias,FRAGANCIA 20 ML CANELA,20 ML,CANELA,1
Fragancias,FRAGANCIA 30 ML CANELA,30 ML,CANELA,1
Fragancias,FRAGANCIA 10 ML COCO,10 ML,COCO,1
Fragancias,FRAGANCIA 20 ML COCO,20 ML,COCO,1
Fragancias,FRAGANCIA 30 ML COCO,30 ML,COCO,1
Fragancias,FRAGANCIA 20 ML ENERGÍA,20 ML,ENERGÍA,1
Fragancias,FRAGANCIA 30 ML ENERGÍA,30 ML,ENERGÍA,1
Fragancias,FRAGANCIA 10 ML ENERGIZANTE,10 ML,ENERGIZANTE,1
Fragancias,FRAGANCIA 20 ML ENERGIZANTE,20 ML,ENERGIZANTE,1
Fragancias,FRAGANCIA 30 ML ENERGIZANTE,30 ML,ENERGIZANTE,1
Fragancias,FRAGANCIA 10 ML EUCALIPTO,10 ML,EUCALIPTO,1
Fragancias,FRAGANCIA 20 ML EUCALIPTO,20 ML,EUCALIPTO,1
Fragancias,FRAGANCIA 30 ML EUCALIPTO,30 ML,EUCALIPTO,1
Fragancias,FRAGANCIA 30 ML FELICIDAD,30 ML,FELICIDAD,1
Fragancias,FRAGANCIA 10 ML HIERBA LUISA,10 ML,HIERBA LUISA,1
Fragancias,FRAGANCIA 20 ML HIERBA LUISA,20 ML,HIERBA LUISA,1
Fragancias,FRAGANCIA 30 ML HIERBA LUISA,30 ML,HIERBA LUISA,1
Fragancias,FRAGANCIA 10 ML JAZMIN,10 ML,JAZMIN,1
Fragancias,FRAGANCIA 20 ML JAZMIN,20 ML,JAZMIN,1
Fragancias,FRAGANCIA 30 ML JAZMIN,30 ML,JAZMIN,1
Fragancias,FRAGANCIA 10 ML LAVANDA,10 ML,LAVANDA,1
Fragancias,FRAGANCIA 20 ML LAVANDA,20 ML,LAVANDA,1
Fragancias,FRAGANCIA 30 ML LAVANDA,30 ML,LAVANDA,1
Fragancias,FRAGANCIA 10 ML LIMON,10 ML,LIMON,1
Fragancias,FRAGANCIA 20 ML LIMON,20 ML,LIMON,1
Fragancias,FRAGANCIA 30 ML LIMON,30 ML,LIMON,1
Fragancias,FRAGANCIA 10 ML MANDARINA,10 ML,MANDARINA,1
Fragancias,FRAGANCIA 20 ML MANDARINA,20 ML,MANDARINA,1
Fragancias,FRAGANCIA 30 ML MANDARINA,30 ML,MANDARINA,1
Fragancias,FRAGANCIA 10 ML MANZANA,10 ML,MANZANA,1
Fragancias,FRAGANCIA 20 ML MANZANA,20 ML,MANZANA,1
Fragancias,FRAGANCIA 30 ML MANZANA,30 ML,MANZANA,1
Fragancias,FRAGANCIA 10 ML MANZANILLA,10 ML,MANZANILLA,1
Fragancias,FRAGANCIA 20 ML MANZANILLA,20 ML,MANZANILLA,1
Fragancias,FRAGANCIA 30 ML MANZANILLA,30 ML,MANZANILLA,1
Fragancias,FRAGANCIA 10 ML MENTA,10 ML,MENTA,1
Fragancias,FRAGANCIA 20 ML MENTA,20 ML,MENTA,1
Fragancias,FRAGANCIA 30 ML MENTA,30 ML,MENTA,1
Fragancias,FRAGANCIA 10 ML MUÑA,10 ML,MUÑA,1
Fragancias,FRAGANCIA 20 ML MUÑA,20 ML,MUÑA,1
