F. Emision,ID Item,Barcode,C. Custom,Modelo,Descripción,Talla,Color,Cant. Equi.,F. Fin,U.Medida,Cant. Fis.,F. Ing.,Cant. Ing.,F. Sal.,Cant. Sal.,Stock Actual,Stock Equi.,P. Unitario,P. Total,F. Import,Marca
05/01/2024,584,603010010000000,,J0001,APAGA VELA,.,.,,23/10/2024,UNI,0,23/10/2024,5,16/10/2024,4,1,,21.5,21.5,,JARDIN DEL ZEN
02/01/2024,585,603010020000000,,J0002,CANASTA CHICA,.,.,,08/08/2024,UNI,2,23/05/2024,3,08/08/2024,4,1,,13.9,13.9,02/01/2024,JARDIN DEL ZEN
02/01/2024,606,603010060000000,,J0006,ESPONJA TEJIDA,.,.,,17/11/2024,UNI,2,30/10/2024,18,17/11/2024,19,1,,5.9,5.9,02/01/2024,JARDIN DEL ZEN
02/01/2024,607,603010070000000,,J0007,ESPONJA VEGETAL-LOOFA,.,.,,29/10/2024,UNI,2,25/09/2024,22,29/10/2024,23,1,,12.9,12.9,02/01/2024,JARDIN DEL ZEN
02/01/2024,577,603010100000000,,J0010,PORTA INCIENSO LARGO,.,.,,15/11/2024,UNI,4,13/11/2024,13,15/11/2024,15,2,,15,30,02/01/2024,JARDIN DEL ZEN
02/01/2024,608,603010110000000,,J0011,PORTA POTPOURRI S/ POTPOURRI,.,.,,10/11/2024,UNI,1,08/08/2024,1,10/11/2024,2,0,,40.5,0,02/01/2024,JARDIN DEL ZEN
02/01/2024,609,603010120000000,,J0012,POSA VELA CERÁMICA GRANDE,.,.,,10/11/2024,UNI,2,09/10/2024,7,10/11/2024,8,1,,27.5,27.5,02/01/2024,JARDIN DEL ZEN
03/01/2024,362,602010010140003,,J0021,AROMATIZADOR BAMBOO 180 ML AMOR,180 ML,AMOR,,17/11/2024,UNI,0,13/11/2024,24,17/11/2024,24,0,,79.9,0,,JARDIN DEL ZEN
26/04/2024,363,602010010140005,,J0021,AROMATIZADOR BAMBOO 180 ML ARMONÍA,180 ML,ARMONÍA,,17/11/2024,UNI,0,13/11/2024,33,17/11/2024,31,2,,79.9,159.8,,JARDIN DEL ZEN
29/05/2024,364,602010010140024,,J0021,AROMATIZADOR BAMBOO 180 ML ENERGÍA,180 ML,ENERGÍA,,18/11/2024,UNI,0,13/11/2024,36,18/11/2024,35,1,,79.9,79.9,,JARDIN DEL ZEN
30/04/2024,655,602010010140026,,J0021,AROMATIZADOR BAMBOO 180 ML EUCALIPTO,180 ML,EUCALIPTO,,28/08/2024,UNI,0,28/08/2024,4,27/07/2024,3,1,,79.9,79.9,,JARDIN DEL ZEN
03/01/2024,365,602010010140028,,J0021,AROMATIZADOR BAMBOO 180 ML FELICIDAD,180 ML,FELICIDAD,,17/11/2024,UNI,0,06/11/2024,45,17/11/2024,42,3,,79.9,239.7,,JARDIN DEL ZEN
03/01/2024,366,602010010140031,,J0021,AROMATIZADOR BAMBOO 180 ML HIERBA LUISA,180 ML,HIERBA LUISA,,13/11/2024,UNI,0,13/11/2024,30,10/11/2024,27,2,,79.9,239.7,,JARDIN DEL ZEN
02/01/2024,367,602010010140035,,J0021,AROMATIZADOR BAMBOO 180 ML LAVANDA,180 ML,LAVANDA,,16/11/2024,UNI,1,23/10/2024,44,16/11/2024,45,0,,79.9,0,02/01/2024,JARDIN DEL ZEN
28/08/2024,368,602010010140041,,J0021,AROMATIZADOR BAMBOO 180 ML MANDARINA,180 ML,MANDARINA,,15/11/2024,UNI,0,13/11/2024,4,15/11/2024,4,0,,79.9,0,,JARDIN DEL ZEN
