Codigo,Modelo,Descripcion,Cant.
602010010140003,J0021,AROMATIZADOR BAMBOO 180 ML AMOR,1.000
602010010140024,J0021,AROMATIZADOR BAMBOO 180 ML ENERGÍA,2.000
602010010140035,J0021,AROMATIZADOR BAMBOO 180 ML LAVANDA,2.000
602010010140041,J0021,AROMATIZADOR BAMBOO 180 ML MANDARINA,2.000
602010010140067,J0021,AROMATIZADOR BAMBOO 180 ML TE VERDE,1.000
601010010120069,J0072,ACEITE NUTRITIVO 120 ML TIARE+JOJOBA,2.000
601010010360020,J0072,ACEITE NUTRITIVO 200 GR COCO,1.000
601010050180073,J0076,ACEITE PARA MASAJES 240 ML TRANQ.,1.000
601030200200000,J0339,BURBUJA DE BAÑO SERENIDAD + PUMP 520 ML,1.000
601030150130000,J0334,MINI BURBUJA DE BAÑO FELICIDAD + PUMP 173 ML,2.000
601040010040073,J0086,COLONIA 10 ML TRANQ.,6.000
601040010140073,J0086,COLONIA 180 ML TRANQ.,5.000
601020020160028,J0102,CREMA HUMECTANTE 190 GR FELICIDAD,2.000
601080040080031,J0116,EXFOLIANTE JABONOSO 34 ML HIERBA LUISA,2.000
601080040080047,J0116,EXFOLIANTE JABONOSO 34 ML MARACUYA,2.000
601080040120008,J0116,EXFOLIANTE JABONOSO 120 ML BAMBOO,1.000
601080040120056,J0116,EXFOLIANTE JABONOSO 120 ML ORQUIDEA BLANCA,2.000
602070010040008,J0028,FRAGANCIA 10 ML BAMBOO,2.000
602070010040089,J0028,FRAGANCIA 10 ML CAPPUCCINO,2.000
602070010040020,J0028,FRAGANCIA 10 ML COCO,1.000
602070010040056,J0028,FRAGANCIA 10 ML ORQUIDEA BLANCA,2.000
602070010040062,J0028,FRAGANCIA 10 ML ROSAS,2.000
602070010040064,J0028,FRAGANCIA 10 ML SANDALO,2.000
602070010070024,J0028,FRAGANCIA 30 ML ENERGÍA,2.000
602070010070065,J0028,FRAGANCIA 30 ML SERENIDAD,2.000
602070010070073,J0028,FRAGANCIA 30 ML TRANQ.,2.000
602070010070078,J0028,FRAGANCIA 30 ML VAINILLA,1.000
601100040150008,J0133,JABON ESPUMOSO ROSTRO 200 ML BAMBOO,2.000
601100040370008,J0133,JABON ESPUMOSO ROSTRO 50 ML BAMBOO,1.000
601100040370024,J0133,JABON ESPUMOSO ROSTRO 50 ML ENERGÍA,1.000
601100040370067,J0133,JABON ESPUMOSO ROSTRO 50 ML TE VERDE,1.000
604010030000000,J0189,KIT BOTANICO,2.000
604010130000000,J0199,KIT TETERA,3.000
604010160000000,J0202,KIT VELA BOTÁNICA,1.000
603010060000000,J0006,ESPONJA TEJIDA,4.000
603010110000000,J0011,PORTA POTPOURRI S/ POTPOURRI,1.000
603010140000000,J0208,PORTA POTPOURRI C/ POTPOURRI,1.000
602020020210056,J0058,SPRAY AROMATIZADOR 550 ML ORQUIDEA BLANCA,15.000
602020020210073,J0058,SPRAY AROMATIZADOR 550 ML TRANQ.,10.000
602060010000000,J0063,FAROLA,1.000
602027100210087,J0360,SPRAY AROMATIZADOR PREMIUM 550 ML MARINE,3.000
602027100210088,J0360,SPRAY AROMATIZADOR PREMIUM 550 ML SUMMER,3.000
602020020210005,J0058,SPRAY AROMATIZADOR 550 ML ARMONÍA,7.000
601040010040005,J0086,COLONIA 10 ML ARMONÍA,5.000
601040010040024,J0086,COLONIA 10 ML ENERGÍA,3.000
601040010040065,J0086,COLONIA 10 ML SERENIDAD,5.000
601040010040003,J0086,COLONIA 10 ML AMOR,3.000
602010010140065,J0021,AROMATIZADOR BAMBOO 180 ML SERENIDAD,1.000
