NOMBRE,TALAVERA,AGRICULTOR ,ETERNIT,
ABAMEX X 1.8 EC X 1/4 LT,,,,
ABAMEX X 1.8 EC X 1 LT,12,2,,
ABRAZADERA BOMBA (66439),,,,
ABRAZADERA F G 1,,,,
 ABRAZADERA  MONTADA (0066388),,,,
ACARE EC X 1 LT,24,43,,
ACARE EC X 1/4 LT,24,56,,
"ACIDEF 1/2 LT			",,,,
"ACIDEF 1/4			",,,,
"ACIDEF LT			",,,,
ACIGIB 10% X PASTILLA,,862,,
ACOPLE DE MANGUERA 425 435,,,,
ACROBAT 1 KG,,,,
ACRONIS 1 L,,,,
ACRONIS ST 35X0.2L,,36,,
"ADAPTADOR 1"" P/R PVC PAVCO",,,,
ADAPTADOR 3/4,,,,
ADAPTADOR 3/4 A/CALIENTE,,,,
ADAPTADOR 3/4 A/FRIA,,,,
"ADAPTADOR CPVC A/ CALIENTE 1/2"" PAVCO",,,,
"ADAPTADOR DE 1""",,,,
"ADAPTADOR  DE 1/2 AGUA C""",,,,
"ADAPTADOR DE 1/2"" SAP PSVCO",,,,
ADAPTADOR DE BRIDAS PVC DN 150-160mm INC/PERNOS,,,,
ADAPTADOR DE BRONCE ,,,,
ADAPTADOR PARA SOLDAR SAP 1/2 PAVCO,,,,
ADAPTADOR PVC 1/2 PAVCO,432,,,
ADAPTADOR PVC UPR 3/4 ACOLPLE C/P AZUL/NEGRO FITSA,,,,
ADAPTADOR UNION UNIVERSAL DE 1/2 PAVCO,,,,
ADEX FORMADOR DE EMPAQUETADURA,,,,
ADITIVO ACELERANTE DE FRAGUA,,,,
ADITIVO DESMOLDANTE,,,,
AFFLY 1/2 LT,,2,,
AFFLY 1/4 LT,,58,,
AFFLY 1 LT,,10,,
AFIDON 1 LT,,,,
"AFUNGIL X 1/2 LT			",,,,
"AFUNGIL X 1/4 LT		",,,,
AFUNGIL X 1 LT,12,,,
AGROSTEMIN X 1/2 LT,,28,,
AGROSTEMIN X 1/4 LT,144,180,,
AGROSTEMIN X 1 LT,,1,,
AGROSTEMIN GROW X 1 LT,,92,,
"	ALAMBRE BC REC #16 G 100LB (45.35KG) EXP",,,,
ALAMBRE GALVANIZADO Nº 16 PRODAC,,,,
ALAMBRE GALVANIZADO Nº 8 PRODAC,,,,
ALAMBRE N° 16 PRODAC,15861,,,
ALAMBRE N° 8 PRODAC,10458,,,
ALGARIUM xLT),,9,,
ALGER 1/4 ,,,,
ALGER 1L,,,,
ALICATE DE CORTE,,,,
ALIETTE X 1 KG,,,,
AMALFI 1/2 KG,,,,
AMALFI KG,,,,
AMINOFARM 1/4,,,,
AMINOFARM 1L,,,,
AMINOGROW X 1/2 LT,,,,
AMINO GROW X LT,,,,
AMISTAR TOP 250 ML,,9,,
AMISTAR TOP X LT,,12,,
AMOLADORA ANGULAR 4-1/2 PROF-220V 800W,,,,
ANGORA 75 WG X 50 G,,,,
"ANG. PERIMETRAL.CTK 15/16X3.05M BL,",1996,,837,
ANGULO 1.1/2X3/16X6M A36,,,,
ANGULO 38X2.5MMX6M A36,,,,
"ANGULO ESQUINERO X 0.30X3.00 GALV,",135,,236,
ANILLO CUERPO DE VALVULA (62248),,,,
ANILLO DE 15 (0062212),,,,
ANILLO DE BOQUE (0062106),,,,
ANILLO DE CAMARA DE AIRE (0062291),,,,
ANILLO DE CERA,,,,
ANILLO DE FILTRO (0062115),,,,
ANILLO GARFIADO 0031356,,,,
ANILLO GRANDE DE CILINDRO (0062140),,,,
ANILLO O,,,,
ANILLO PIEZA DE RETENCION 0062271,,,,
ANILLO  PQ DE CILINDRO (0062139),,,,
ANILLO PRESION,,,,
ANILLO TRICO (USAR VO 21559198),,,,
ANILLO TUBO ATOMIZADOR (0062258),,,,
"ANIMO GROW  1/2 LT			",,,,
"ANTRACOL X 400 GRS 			",,,,
ANTRACOL X KG,,,,
APLICADOR SILICONA,,,,
APOYO 425 455 475,,,,
ARANDELA 0030131,,,,
ARANDELA PLANA 1.2,,,,
ARANDELA PLANA 3.8,,,,
ARANDELA PRESION1.2,,,,
ARANDELA PRESION5.16,,,,
ARANDELA PRESIONM10,,,,
ARCO JARDINERO,1,,,
ARO 13X22.5 EJE EUROPEO,,,,
ARO ACERO 8.25X22.5 EUROPEO 10H FIJACIO,,,,
ARREGLO F9H-940,,,,
ARREGLO F9M-764,,,,
ARRIVO X 1/4 LT,,,,
ATOMIZADORA 451 SOLO,,,,
ATOMIZADORA SOLO 423 12 LT,,1,,
ATOMIZADORA SOLO 423 DE 15 LT,,,,
ATOMIZADOR MASTER 452 15LT,,,,
"ATTACK X 1/2 KG			",368,48,,
"ATTACK X 1 KG			",540,292,,
ATTACK X 200 GRS,280,,,
AUTOPERFORANTE C/NEOPRENE 14 x 2 1/2,,,,
AUTOPERFORANTE P/BROCA ZINC. 1/4 X 1 1/2 C/ARAND.NEOP,,,,
AUTOPERFORANTE P/BROCA ZINC. 1/4 X 1 C/ARAND.NEOP,,,,
AUTOPERFORANTE P/BROCA ZINC. 1/4 X 3 C/ARAND. NEOP.,696,,,
AUTOPERFORANTE P/BROCA ZINC. 1/4 X 4 C/ARAND. NEOP. PRODAC,,,,
AUTOPERFORANTE P/BROCA ZINC. 1/4 X 5 C/ARAND. NEOP.,396,,,
AZOBIN TOP 32.5SC X 250 ML,,,,
BALANZA CON ACCESORIOS,,,1,
BALANZA  DE 1000,,,,
BALDOSA ASTRAL 2X4X12(CJA 10),,,,
BALDOSA COMETT,8,,,
BALDOSA CONSTRUC-TEK CAJA X 9,,,,
BALDOSA DE FIBROCEMENTO 4 MM X 60 CM X 60 CM - ETERNIT,,,,
BALDOSA -VIDRIO C/U,,,,
BAMECTIN X  250ML,,,,
BAMECTIN X LT ,,,,
BANCO DE MEDIDOR CON LLAVE DE FUERZA,,,,
BARANDA DE ACERO INOXIDABLE,,,,
BARANDAS METALICAS,,,,
BARAS DE PULV. (120CM) 4 TOB,,,,
BARRA DE PULVERIZ (60CM) 425 475 422,,,,
BARRERA INFRARROJA,,,,
BARRETAS DE 1 X 1.80m EXAGONAL,,,,
BASAGRAN 1 L,,,,
BASE IMPORTADO,,,,
BASE NEGRO PARA DICROICOS,,,,
BASE PLAST C/U,,,,
BASFOLIAR FLORACION X 1 KG,25,,,
BASFOLIAR VERDE X 1 KG,25,,,
BASTA L,,,,
BASTON DE LUZ,,,,
BATERIA 12V,,,,
BATERIA 15M99 ENERJET,,,,
BATERIA 27 PLACAS AXN-7,,,,
BATERIA ETNA 23 PLACAS INVERTIDA ADP-906,,,,
BATERIA PARA MOTOR 2.4 AH,,,,
BAYFOLAN  11-8-6,,,,
BAYFOLAN ACTIVADOR,,,,
BAYFOLAN ALGE,,,,
BAYFOLAN POWER LT,,,,
BAYFOLAN X 1 LT,,,,
BBA DE AGUA MOTOR D13 ,,,,
BBA EMBRAG P/ALTA FM/FMX480/520,,,,
BBIN EMBRAG/BAJA VT2014 EURO 6 ULTIMO,,,,
BELLIS KG,,,,
BENDIX ,,,,
BENGAL X 1KG.,,,,
BENIFAR X 1/2 LT,,,,
BENIZAR X LT,,,,
BENLAFAR X 1KG,,8,,
BENLAFAR X 200 G,,81,,
BENLATE 50 WP X 1 KG,,,,
BENZIFARM X LT,,,,
"BEST WATER LT			",,,,
BEST WATER X 1/2 LT,,24,,
"BEST WATER X 1/4			",,,,
BETA BAYTROIDE SC125 X 1LT,,,,
BETA BAYTROIDE SC X 250ML,,,,
BIALA  HEMBRA ,,,,
BIDON AZUL X 200 LT,,,,
BIDON DE PVC 60 GLN VACIO,,,,
BIELA 475  (4074255),,,,
BIELA HEMBRA (4074409),,,,
BIELA MACHO (4074408),,,,
"BIGHOR 1/4			",,,,
"BIGHOR LT			",,,,
BILBAO BEIGE 60 X 60,,,,
BIOCINN X 1LT,,48,,
"BIOENERGY  1/4 LT			",,,,
BIOFOSCA PLUSS,,,,
BIOGYZ 1/4,,,,
BIOGYZ 1L,,,,
BIOKARANYA X LT,,,,
BIOMECTIN X 1/4 LT,,,,
BIONOX ADBLUE,,,,
BIOSPORE  1 KG,,,,
BISAGRA OMEGA ALUMINIZADA,,,,
BISAGRAS (03),,,,
BLANCO FLEXIBLE 25KG  PE01,,,,
BLOQUER ARTEZANAL DE 12(simi-industrial),,,,
BLOQUER DE 12,,,,
BLOQUETA 12X30 LARK,1950,,1,
BLOQUETA 15X30 LARK,8180,,1,
BLOQUETA 8X30 LARK,1140,,,
BOBINA 2300807,,,,
BOLSAS TEMPLE CPP 25 KILOS,,,,
BOLSAS TEMPLE CPP X 25 KILOS,,,,
BOLSA TEMPLE X25 KG,,,,
BONUS X 1 KG,320,102,,
BOQUILLA BR-1000CC/MIN 40PSIG RC350A151,,,,
BOQUILLA DE BRONCE 1700 CC,,,,
BOQUILLA DE CUATRO CONOS PLASTICA BQL 4C-PL5,,,,
BOQUILLA REGULABLE 3004900525,,,,
BOTRIMEX 50 SC X 1L,,,,
BOTRIMEX 50 SC X 250 ML,,,,
BOTRIZIN X 1/2 LT,,,,
BOTRIZIN X 1/4 LT,,,,
"BOTRIZIN X 1 LT			",280,3,,
BRACKETE 5M.M T/50,,,,
BRACKETE 9M.M T/70,,,,
"BRAVO LT			",,,,
BREAK THRU X 1 LT,20,20,,
BREAK THRU X 1/4 LT,20,25,,
BROCA DE FIERRO 3/8,,,,
BROCA HSS 3 MM JUSTER,10,,,
BROCA HSS 4 MM JUSTER,10,,,
"BROCA PARA CONCRETO 1/4"" MEISSER GERMANY",,,,
"BROCA PARA METAL 1/2"" BOSCH",,,,
BRONCO 40 EC X LT,,,,
BROTONE 1 LT,,,,
BUJES WATSON ,,,,
BULL FIRE X 250ML,,,,
"BUMPER LT			",,,,
BUMPER X 1/4 T,,,,
BUSHING DE 2  A 1,,,,
CABLE BOGLE (28005859),,,,
CABLE BOWDEN 2800559,,,,
CABLE CAT 5E MARCA HIKIVISION ,,,,
CABLE CELEC #12,,,,
CABLE CELEC #14,,,,
CABLE CORRUGADO,,,,
CABLE DE ACERO DE 13MM,,,,
CABLE DE ACERO DE 8MM,,,,
CABLE DE INTERNET,,,,
CABLE DE MANDO DE PALANCA ,,,,
CABLE DE RED ,,,,
CABLE DE TIERRA ,,,,
CABLE ELECTRICO 0084130,,,,
CABLE HDMI,,,,
CABLE N° 12 INDECO,,,,
CABLE N° 14 INDECO,,,,
CABLE N2XOH 10MM2(METROS),,,,
[CABLE NEGRO N°12 GRANDE,,,,
CABLE POWER,,,,
CABLE SATRA Sólido U/UTP Categoría 5e(metros) ,,,,
CABLE SISTEMAS,,,,
CABLE THW-90 8 AWG +PLUS INDECO ,,,,
CABLE THW-90 NRO 12,,,,
CABLE TIE,,,,
CABLE TW-10 AWG +PLUS,,,,
CABLE TW-12 AWG +PLUS ,,,,
CABLE TW-14AWG,,,,
CABLE TW-14 AWG +PLUS,,,,
CABLE TW-80 NRO 10,,,,
CABLE TW-80 NRO 12,,,,
CABLE TW-80 NRO 14,,,,
CABLE UTP CELAPSA CAT 5E,,,,
CABLE UTP CT5 COBRE DIXON,,,,
CABLE U/UTP,,,,
CABLE VGA Y CARGADOR SONY,,,,
CABLE VIAJERO,,,,
CABLE VIP 1 1/2 +2,,,,
CACHIMBA DE 13MM,,,,
"CAJA DE CAMBIOS, CALIBRADO",,,,
CAJA DE CAMBIOS CAMBIO DE ACEITE Y FILTRO,,,,
CAJA DE GUANTES DE LANA ,,,,
CAJA DE PASE 20X20 ESTAR,,,,
CAJA DE PASE 20X20X8,,,,
CAJA DE PASE 25X25X8,,,,
CAJA DE PASE 30X30X8,,,,
CAJA DE REGISTRO CONCRETO PARA POZO A TIERRA,,,,
CAJA DE REVISION,,,,
CAJA DE VALOR,,,,
CAJA FUERTE ,,,,
CAJA MEDULAR,,,,
CAJA MODULAR 2X4 STAR,,,,
CAJA MODULAR  SIDER,,,,
CAJA PLASTICA,,,,
CAJA RECTANGULAR,,,,
CAJAS MODULARES ,,,,
CAJAS OCTAGONAL PAVCO W,118,,,
CAJAS OCTGA,,,,
