"id","name","list_price"
1730,"01 CASE OTHELO DE 600 WTS",1
1731,"01 TARJETA DE RED TP-LINK",1
1303,"02 M3 ARENA FINA",0
2899,"10114",1
1834,"10 NITRATO",1
2122,"10 TARGET",1
1302,"12 M3 ARENA FINA",0
5570,"1/2 S",1
5319,"1/4 C",1
1253,"14 CUBOS DE ARENA",0
1017,"1/5",1
1319,"150",1
6190,"16",1
5879,"16 PROD",1
5273,"16 PRODAC",1
1270,"1 CUBO Y MEDIO DE ARENA MAS 1/2 MILLAR DE LADRILLO",0
5903,"1 GABINETE DE 4RU ",1
986,"2",1
5699,"20 luces LED (mts)",1
1065,"23.",1
1631,"24 ARENA ORMIGON",1
1825,"25 DIAMONICO",1
1632,"2 ARENA FINA",1
5993,"2 CLIPS PARA RIEL DE ELEVADOR 9M.M T/70",1
5989,"2 RIEL 9M.M T/70-1/B (70*65*9MM) 7.00 $85.00 595.00 53 BE0002 BRACKETE 9M.M T/70 ",1
5594,"300",1
5309,"3/8 S",1
6168,"3/8 SI",1
1023,"416",1
330,"425 475",1
312,"(4400191) 425 435",1
1034,"4	GYPLAC X 1/2 6	PARANTES X 64 2	RIELES X 65 1	ESQUINERO 1	CINTA MALLA X 20",1
2416,"50 MOLIMAX",1
6256,"5871885 0 SPOT MERC FINANCIAL INST",1
5492,"5/8 S",1
6306,"5918295 0 SPOT MERC FINANCIAL INST",1
6310,"5922269 0 SPOT MERC FINANCIAL INST",1
1025,"660",1
2160,"6x5",1
2602,"7",1
1053,"700",1
1806,"84",1
6063,"8MMM S",1
1441,"9.",1
3135,"ABAMEX X 1.8 EC X 250 ML",1
3134,"ABAMEX X 1.8 EC X LT",1
5808,"ABASTOS",1
6196,"ABONO PRESTAMO",1
1309,"ABRAZADERA",1
1994,"ABRAZADERA (0066463)",1
2666,"ABRAZADERA BOMBA (66439)",1
3568,"ABRAZADERA DE 1""",1
827,"ABRAZADERA DE MANGERA",1
270,"ABRAZADERA DE TUBO 425 475 435",8
6034,"ABRAZADERA F G 1",1
867," ABRAZADERA  MONTADA (0066388)",1
5345,"ACABADO DE TERCER NIVEL DE LOS DEPARTAMENTOS DE 5 Y 6",1
5199,"ACABADO Y TARRAGEO DEL PRIMER NIVEL",1
1967,"ACARE EC X 1 LT",0
1508,"ACARE EC X 250 MIL",1
3692,"ACCESORIO DE INODORO",1
2513,"ACCESORIOS DE LIMPIEZA",1
5768,"ACCESORIOS DE URINARIO ",1
1353,"ACCESORIOS DIVERSOS",1
4573,"ACCESORIOS P/ TANQUE BAJO",1
3104,"ACE DETERGENTE",1
3376,"ACEI CAJA MAN BAL",1
3378,"ACEI DIFERENC BAL",1
4208,"ACEITE 10W30",1
2763,"ACEITE 15W40",1
3402,"ACEITE 15W40 12BL1",1
3608,"ACEITE 15W40 TOTA",1
2591,"ACEITE 20W50",1
3829,"ACEITE 25W60",1
1889,"ACEITE 2T 75 ML",1
2217,"ACEITE 2 TIEMPOS 100 ML",1
2330,"ACEITE 4T X 1LT",1
3649,"ACEITE 80W90 CAJA",1
3648,"ACEITE 80W90 CORONA",1
3543,"ACEITE AGRICOLA X L",1
3401,"ACEITE DEL GRUPO CONICO",1
3399,"ACEITE DEL GRUPO CONICO CAMBIO CONSUMIBLES MATERIALES DEL TALLER",1
4072,"ACEITE DE MOTOR 15W40 TOYOTA",1
3877,"ACEITE DE MOTOR 7400 15W40 TOTAL",1
3612,"ACEITE DE TRANSMISION 75W90",1
2463,"ACEITE DIFERENCIAL",1
2008,"ACEITE SOLO 2T X 1LT",1
4974,"ACEITE SOLO 75 ML",1
3434,"ACEITE TRANSMISION 85W14",1
2501,"ACEITR",1
6076,"ACENSOR- VARIOS",1
1281,"ACERO CORRUGADO DE 1/2",0
1282,"ACERO CORRUGADO DE 3/8",0
1283,"ACERO CORRUGADO DE 5/8",0
648,"ACIDEF 1/2 LT			",1
654,"ACIDEF 1/4			",1
644,"ACIDEF LT			",1
1987,"ACIDO BORICO",1
