Modelo,Descripción,Talla,Color,Stock Actual
J0001,APAGA VELA,.,.,0
J0006,ESPONJA TEJIDA,.,.,0
J0007,ESPONJA VEGETAL-LOOFA,.,.,3
J0008,GUANTES EXFOLIANTES,.,.,0
J0010,PORTA INCIENSO LARGO,.,.,2
J0011,PORTA POTPOURRI S/ POTPOURRI,.,.,1
J0012,POSA VELA CERÁMICA GRANDE,.,.,3
J0021,AROMATIZADOR BAMBOO 180 ML AMOR,180 ML,AMOR,0
J0021,AROMATIZADOR BAMBOO 180 ML ARMONÍA,180 ML,ARMONÍA,0
J0021,AROMATIZADOR BAMBOO 180 ML ENERGÍA,180 ML,ENERGÍA,0
J0021,AROMATIZADOR BAMBOO 180 ML EUCALIPTO,180 ML,EUCALIPTO,1
J0021,AROMATIZADOR BAMBOO 180 ML FELICIDAD,180 ML,FELICIDAD,1
J0021,AROMATIZADOR BAMBOO 180 ML HIERBA LUISA,180 ML,HIERBA LUISA,1
J0021,AROMATIZADOR BAMBOO 180 ML LAVANDA,180 ML,LAVANDA,3
J0021,AROMATIZADOR BAMBOO 180 ML MANDARINA,180 ML,MANDARINA,1
J0021,AROMATIZADOR BAMBOO 180 ML MANZANA CANELA,180 ML,MANZANA CANELA,3
J0021,AROMATIZADOR BAMBOO 180 ML ORQUIDEA BLANCA,180 ML,ORQUIDEA BLANCA,7
J0021,AROMATIZADOR BAMBOO 180 ML ROSAS,180 ML,ROSAS,0
J0021,AROMATIZADOR BAMBOO 180 ML SERENIDAD,180 ML,SERENIDAD,0
J0021,AROMATIZADOR BAMBOO 180 ML TÉ VERBENA,180 ML,TÉ VERBENA,1
J0021,AROMATIZADOR BAMBOO 180 ML TE VERDE,180 ML,TE VERDE,0
J0021,AROMATIZADOR BAMBOO 180 ML TRANQ.,180 ML,TRANQ.,5
J0021,AROMATIZADOR BAMBOO 180 ML VAINILLA,180 ML,VAINILLA,0
J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML AMOR,180 ML,AMOR,1
J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML ARMONÍA,180 ML,ARMONÍA,0
J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML ENERGÍA,180 ML,ENERGÍA,1
J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML EUCALIPTO,180 ML,EUCALIPTO,1
J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML FELICIDAD,180 ML,FELICIDAD,1
J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML HIERBA LUISA,180 ML,HIERBA LUISA,1
J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML LAVANDA,180 ML,LAVANDA,2
J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML MANDARINA,180 ML,MANDARINA,1
J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML MANZANA CANELA,180 ML,MANZANA CANELA,1
J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML ORQUIDEA BLANCA,180 ML,ORQUIDEA BLANCA,0
J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML SERENIDAD,180 ML,SERENIDAD,2
J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML TÉ VERBENA,180 ML,TÉ VERBENA,0
J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML TE VERDE,180 ML,TE VERDE,1
J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML TRANQ.,180 ML,TRANQ.,0
J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML VAINILLA,180 ML,VAINILLA,1
J0025,DIFUSOR 100 ML,100 ML,.,0
J0025,DIFUSOR 120 ML,120 ML,.,0
J0025,DIFUSOR 180 ML,180 ML,.,0
J0025,DIFUSOR 300 ML,300 ML,.,0
J0026,DIFUSOR BLANCO 200 ML,200 ML,.,0
J0028,FRAGANCIA 10 ML ALMENDRAS,10 ML,ALMENDRAS,3
J0028,FRAGANCIA 20 ML ALMENDRAS,20 ML,ALMENDRAS,2
J0028,FRAGANCIA 30 ML ALMENDRAS,30 ML,ALMENDRAS,2
J0028,FRAGANCIA 30 ML AMOR,30 ML,AMOR,1
J0028,FRAGANCIA 10 ML ANTI STRESS,10 ML,ANTI STRESS,2
J0028,FRAGANCIA 20 ML ANTI STRESS,20 ML,ANTI STRESS,2
J0028,FRAGANCIA 30 ML ANTI STRESS,30 ML,ANTI STRESS,4
J0028,FRAGANCIA 30 ML ARMONÍA,30 ML,ARMONÍA,5
J0028,FRAGANCIA 10 ML BAMBOO,10 ML,BAMBOO,2
J0028,FRAGANCIA 20 ML BAMBOO,20 ML,BAMBOO,2
J0028,FRAGANCIA 30 ML BAMBOO,30 ML,BAMBOO,3
J0028,FRAGANCIA 10 ML CANELA,10 ML,CANELA,2
J0028,FRAGANCIA 20 ML CANELA,20 ML,CANELA,2
J0028,FRAGANCIA 30 ML CANELA,30 ML,CANELA,4
J0028,FRAGANCIA 10 ML COCO,10 ML,COCO,2
J0028,FRAGANCIA 20 ML COCO,20 ML,COCO,2
J0028,FRAGANCIA 30 ML COCO,30 ML,COCO,1
J0028,FRAGANCIA 30 ML ENERGÍA,30 ML,ENERGÍA,7
J0028,FRAGANCIA 10 ML ENERGIZANTE,10 ML,ENERGIZANTE,2
J0028,FRAGANCIA 20 ML ENERGIZANTE,20 ML,ENERGIZANTE,0
J0028,FRAGANCIA 30 ML ENERGIZANTE,30 ML,ENERGIZANTE,1
J0028,FRAGANCIA 10 ML EUCALIPTO,10 ML,EUCALIPTO,2
J0028,FRAGANCIA 20 ML EUCALIPTO,20 ML,EUCALIPTO,3
J0028,FRAGANCIA 30 ML EUCALIPTO,30 ML,EUCALIPTO,3
J0028,FRAGANCIA 30 ML FELICIDAD,30 ML,FELICIDAD,4
J0028,FRAGANCIA 10 ML HIERBA LUISA,10 ML,HIERBA LUISA,2
J0028,FRAGANCIA 20 ML HIERBA LUISA,20 ML,HIERBA LUISA,1
J0028,FRAGANCIA 30 ML HIERBA LUISA,30 ML,HIERBA LUISA,3
J0028,FRAGANCIA 10 ML JAZMIN,10 ML,JAZMIN,2
J0028,FRAGANCIA 20 ML JAZMIN,20 ML,JAZMIN,1
J0028,FRAGANCIA 30 ML JAZMIN,30 ML,JAZMIN,2
J0028,FRAGANCIA 10 ML LAVANDA,10 ML,LAVANDA,1
J0028,FRAGANCIA 20 ML LAVANDA,20 ML,LAVANDA,1
J0028,FRAGANCIA 30 ML LAVANDA,30 ML,LAVANDA,2
J0028,FRAGANCIA 10 ML LIMON,10 ML,LIMON,2
J0028,FRAGANCIA 20 ML LIMON,20 ML,LIMON,2
J0028,FRAGANCIA 30 ML LIMON,30 ML,LIMON,2
J0028,FRAGANCIA 10 ML MANDARINA,10 ML,MANDARINA,1
J0028,FRAGANCIA 20 ML MANDARINA,20 ML,MANDARINA,1
J0028,FRAGANCIA 30 ML MANDARINA,30 ML,MANDARINA,0
J0028,FRAGANCIA 10 ML MANZANA,10 ML,MANZANA,1
J0028,FRAGANCIA 20 ML MANZANA,20 ML,MANZANA,1
J0028,FRAGANCIA 30 ML MANZANA,30 ML,MANZANA,2
J0028,FRAGANCIA 10 ML MENTA,10 ML,MENTA,1
J0028,FRAGANCIA 20 ML MENTA,20 ML,MENTA,1
J0028,FRAGANCIA 30 ML MENTA,30 ML,MENTA,2
