Codigo,Modelo,Descripcion,Cant,Med,Precio_uni,Precio_tot,Valor_uni,Valor_tot
6.0101E+14,J0072,ACEITE NUTRITIVO 34 ML ALMENDRAS,1,UNI,22.9,22.9,19.41,19.41
6.0101E+14,J0076,ACEITE PARA MASAJES 34 ML FELICIDAD,3,UNI,22.9,68.7,19.41,58.22
6.0101E+14,J0076,ACEITE PARA MASAJES 34 ML TRANQ.,3,UNI,22.9,68.7,19.41,58.22
6.0101E+14,J0076,ACEITE PARA MASAJES 240 ML ARMONÍA,1,UNI,69.9,69.9,59.24,59.24
6.0101E+14,J0076,ACEITE PARA MASAJES 240 ML FELICIDAD,2,UNI,69.9,139.8,59.24,118.47
6.0101E+14,J0076,ACEITE PARA MASAJES 240 ML SERENIDAD,2,UNI,59.42,118.84,50.36,100.71
6.0101E+14,J0076,ACEITE PARA MASAJES 240 ML TRANQ.,3,UNI,69.9,209.7,59.24,177.71
6.0109E+14,J0129,GEL ANTIBACTERIAL 35 ML AMOR,3,UNI,8.9,26.7,7.54,22.63
6.0109E+14,J0129,GEL ANTIBACTERIAL 35 ML ARMONÍA,3,UNI,8.9,26.7,7.54,22.63
6.0109E+14,J0129,GEL ANTIBACTERIAL 35 ML ENERGÍA,3,UNI,8.9,26.7,7.54,22.63
6.0109E+14,J0129,GEL ANTIBACTERIAL 35 ML FELICIDAD,3,UNI,8.9,26.7,7.54,22.63
6.0109E+14,J0129,GEL ANTIBACTERIAL 35 ML SERENIDAD,3,UNI,7.57,22.71,6.42,19.25
6.0109E+14,J0129,GEL ANTIBACTERIAL 35 ML TRANQ.,3,UNI,8.9,26.7,7.54,22.63
6.0502E+14,J0069,ESENCIA 10 ML ADIOS ANSIEDAD,10,UNI,79.9,799,67.71,677.12
6.0502E+14,J0069,ESENCIA 10 ML BUENAS NOCHES,6,UNI,79.9,479.4,67.71,406.27
6.0502E+14,J0069,ESENCIA 10 ML STRESS FREE,11,UNI,79.9,878.9,67.71,744.83
6.011E+14,J0132,JABON DE LA ABUELA 100 GR ALMENDRA VAINILLA,1,UNI,22.9,22.9,19.41,19.41
6.011E+14,J0132,JABON DE LA ABUELA 100 GR FRUTAS SILVESTRES,1,UNI,22.9,22.9,19.41,19.41
6.011E+14,J0132,"JABON DE LA ABUELA 100 GR LECHE, AVENA Y MIEL",1,UNI,22.9,22.9,19.41,19.41
6.011E+14,J0132,JABON DE LA ABUELA 100 GR LIMA LAVANDA,3,UNI,22.9,68.7,19.41,58.22
6.0102E+14,J0102,CREMA HUMECTANTE 30 ML FELICIDAD,3,UNI,22.9,68.7,19.41,58.22
6.0102E+14,J0102,CREMA HUMECTANTE 190 GR SERENIDAD,2,UNI,84.92,169.84,71.97,143.93
6.0102E+14,J0102,CREMA HUMECTANTE 190 GR TRANQ.,2,UNI,99.9,199.8,84.66,169.32
6.0108E+14,J0116,EXFOLIANTE JABONOSO 220 ML SERENIDAD,3,UNI,63.75,191.25,54.02,162.08
6.0108E+14,J0116,EXFOLIANTE JABONOSO 220 ML TRANQ.,3,UNI,75,225,63.56,190.68
6.0104E+14,J0086,COLONIA 10 ML AMOR,4,UNI,19,76,16.1,64.41
6.0104E+14,J0086,COLONIA 10 ML ENERGÍA,3,UNI,19,57,16.1,48.3
6.0104E+14,J0086,COLONIA 10 ML FELICIDAD,6,UNI,19,114,16.1,96.61
6.0104E+14,J0086,COLONIA 10 ML SERENIDAD,3,UNI,16.15,48.45,13.69,41.06
6.0104E+14,J0086,COLONIA 10 ML TRANQ.,4,UNI,19,76,16.1,64.41
6.0104E+14,J0086,COLONIA 180 ML FELICIDAD,4,UNI,55,220,46.61,186.44
6.0104E+14,J0086,COLONIA 180 ML SERENIDAD,5,UNI,46.75,233.75,39.62,198.09
6.0104E+14,J0086,COLONIA 180 ML TRANQ.,5,UNI,55,275,46.61,233.05
6.0401E+14,J0189,KIT BOTANICO,2,UNI,59.9,119.8,50.76,101.53
6.0401E+14,J0188,KIT BARRILITO,2,UNI,80,160,67.8,135.59
6.0401E+14,J0192,KIT COFRE DE ALMENDRAS,2,UNI,110,220,93.22,186.44
6.0401E+14,J0267,KIT ZEN RENOVADO AMOR,3,UNI,75,225,63.56,190.68
6.0401E+14,J0187,KIT ALMOHADILLA LAVANDA- MANZANILLA,1,UNI,105,105,88.98,88.98
6.0201E+14,J0021,AROMATIZADOR BAMBOO 180 ML ARMONÍA,3,UNI,79.9,239.7,67.71,203.14
6.0201E+14,J0021,AROMATIZADOR BAMBOO 180 ML HIERBA LUISA,3,UNI,79.9,239.7,67.71,203.14
6.0201E+14,J0021,AROMATIZADOR BAMBOO 180 ML LAVANDA,3,UNI,79.9,239.7,67.71,203.14
6.0201E+14,J0021,AROMATIZADOR BAMBOO 180 ML ORQUIDEA BLANCA,2,UNI,95,190,80.51,161.02
6.0201E+14,J0021,AROMATIZADOR BAMBOO 180 ML SERENIDAD,4,UNI,67.92,271.68,57.56,230.24
6.0201E+14,J0021,AROMATIZADOR BAMBOO 180 ML TRANQ.,3,UNI,79.9,239.7,67.71,203.14
6.0202E+14,J0058,SPRAY AROMATIZADOR 550 ML ARMONÍA,6,UNI,65,390,55.09,330.51
6.0202E+14,J0058,SPRAY AROMATIZADOR 550 ML ENERGÍA,6,UNI,65,390,55.09,330.51
6.0202E+14,J0058,SPRAY AROMATIZADOR 550 ML FELICIDAD,10,UNI,65,650,55.09,550.85
6.0202E+14,J0058,SPRAY AROMATIZADOR 550 ML LAVANDA,6,UNI,65,390,55.09,330.51
6.0202E+14,J0058,SPRAY AROMATIZADOR 550 ML SERENIDAD,35,UNI,55.25,1933.75,46.82,1638.77
6.0202E+14,J0058,SPRAY AROMATIZADOR 550 ML TRANQ.,40,UNI,65,2600,55.09,2203.39
6.02027E+14,J0360,SPRAY AROMATIZADOR PREMIUM 550 ML MARINE,6,UNI,79.9,479.4,67.71,406.27
6.02027E+14,J0360,SPRAY AROMATIZADOR PREMIUM 550 ML ALPHA,6,UNI,79.9,479.4,67.71,406.27
6.02027E+14,J0360,SPRAY AROMATIZADOR PREMIUM 550 ML SUMMER,3,UNI,79.9,239.7,67.71,203.14
6.011E+14,J0133,JABON ESPUMOSO ROSTRO 200 ML AMOR,3,UNI,75,225,63.56,190.68
6.011E+14,J0133,JABON ESPUMOSO ROSTRO 200 ML BAMBOO,3,UNI,75,225,63.56,190.68
6.011E+14,J0133,JABON ESPUMOSO ROSTRO 200 ML ENERGÍA,2,UNI,75,150,63.56,127.12
6.011E+14,J0133,JABON ESPUMOSO ROSTRO 200 ML HIERBA LUISA,3,UNI,75,225,63.56,190.68
6.011E+14,J0133,JABON ESPUMOSO ROSTRO 200 ML TE VERDE,2,UNI,75,150,63.56,127.12
6.011E+14,J0133,JABON ESPUMOSO ROSTRO 50 ML HIERBA LUISA,2,UNI,29.9,59.8,25.34,50.68
6.0108E+14,J0123,EXFOLIANTE OLEOSO 200 GR SERENIDAD,2,UNI,84.92,169.84,71.97,143.93
6.0207E+14,J0028,FRAGANCIA 20 ML HIERBA LUISA,1,UNI,49.9,49.9,42.29,42.29
6.0207E+14,J0028,FRAGANCIA 20 ML LIMON,1,UNI,49.9,49.9,42.29,42.29
6.0207E+14,J0028,FRAGANCIA 20 ML TE VERDE,1,UNI,49.9,49.9,42.29,42.29
6.0207E+14,J0028,FRAGANCIA 30 ML AMOR,2,UNI,65,130,55.09,110.17
6.0207E+14,J0028,FRAGANCIA 30 ML ARMONÍA,3,UNI,65,195,55.09,165.25
6.0207E+14,J0028,FRAGANCIA 30 ML FELICIDAD,3,UNI,65,195,55.09,165.25
6.0207E+14,J0028,FRAGANCIA 30 ML ORQUIDEA BLANCA,3,UNI,65,195,55.09,165.25
6.0207E+14,J0028,FRAGANCIA 30 ML SERENIDAD,5,UNI,55.25,276.25,46.82,234.11
6.0207E+14,J0028,FRAGANCIA 30 ML TE BLANCO,2,UNI,65,130,55.09,110.17
6.0401E+14,J0353,KIT BUDA LIMPIADOR DE ENERGIAS,2,UNI,63.9,127.8,54.15,108.31
6.02027E+14,J0328,SPRAY AROMATIZADOR ARMONÍA 60 ML,10,UNI,33.9,339,28.73,287.29
6.02027E+14,J0329,SPRAY AROMATIZADOR FELICIDAD 60 ML,8,UNI,33.9,271.2,28.73,229.83
6.02027E+14,J0327,SPRAY AROMATIZADOR ENERGÍA 60 ML,8,UNI,33.9,271.2,28.73,229.83
6.02027E+14,J0326,SPRAY AROMATIZADOR TRANQUILIDAD 60 ML,12,UNI,33.9,406.8,28.73,344.75
6.02027E+14,J0325,SPRAY AROMATIZADOR SERENIDAD 60 ML,12,UNI,28.82,345.84,24.42,293.08
6.0502E+14,J0069,ESENCIA 10 ML STRESS FREE,1,UNI,79.9,79.9,67.71,67.71
6.0207E+14,J0028,FRAGANCIA 10 ML HIERBA LUISA  SILVESTRE,1,UNI,39.9,39.9,33.81,33.81
6.0207E+14,J0028,FRAGANCIA 20 ML HIERBA LUISA  SILVESTRE,1,UNI,49.9,49.9,42.29,42.29
6.0207E+14,J0028,FRAGANCIA 30 ML HIERBA LUISA  SILVESTRE,1,UNI,65,65,55.09,55.09
6.0201E+14,J0022,AROMATIZADOR BAMBOO REPUESTO 180 ML ARMONÍA,1,UNI,57.9,57.9,49.07,49.07
